stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,45.258,1.727,0.000,0,9,3019943799.612,426582241.678,76
refined,57.870,1.727,0.000,0,9,3019943799.612,344208154.382,76
