attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.321,"[-1.852, -0.791]",0.530,-4.973,0.000,1,0.150,73670597.567,0.085,-1.000,-0.321,0,0,fn
c,-7.619,"[-10.442, -4.796]",2.823,-5.387,0.000,1,0.150,73670597.567,0.085,-6.000,-1.619,0,0,fn
s,-3.740,"[-5.105, -2.376]",1.365,-5.471,0.000,1,0.150,73670597.567,0.085,-3.000,-0.740,0,0,fn
k0,0.337,"[-0.218, 0.892]",0.555,1.212,0.230,1,0.150,73670597.567,0.085,0.000,0.337,0,0,fp
k1,-0.224,"[-0.68, 0.232]",0.456,-0.982,0.330,1,0.150,73670597.567,0.085,0.000,-0.224,0,0,fp
k2,-0.234,"[-0.737, 0.269]",0.503,-0.929,0.356,1,0.150,73670597.567,0.085,0.000,-0.234,0,0,fp
k3,-0.295,"[-1.132, 0.542]",0.837,-0.704,0.484,1,0.150,73670597.567,0.085,0.000,-0.295,0,0,fp
k4,0.165,"[-0.281, 0.61]",0.445,0.738,0.463,1,0.150,73670597.567,0.085,0.000,0.165,0,0,fp
k5,-0.044,"[-0.484, 0.396]",0.440,-0.199,0.843,1,0.150,73670597.567,0.085,0.000,-0.044,0,0,fp
vot,0.173,,,,,1,0.150,73670597.567,0.085,0.167,0.007,0,0,fn
tt,-0.877,"[-1.216, -0.538]",0.339,-5.157,0.000,1,0.200,109904396.108,0.104,-1.000,0.123,0,0,fn
c,-5.252,"[-7.114, -3.391]",1.861,-5.633,0.000,1,0.200,109904396.108,0.104,-6.000,0.748,0,0,fn
s,-3.013,"[-4.01, -2.015]",0.998,-6.028,0.000,1,0.200,109904396.108,0.104,-3.000,-0.013,0,0,fn
k0,0.180,"[-0.284, 0.644]",0.464,0.774,0.442,1,0.200,109904396.108,0.104,0.000,0.180,0,0,fp
k1,-0.376,"[-0.839, 0.086]",0.462,-1.624,0.109,1,0.200,109904396.108,0.104,0.000,-0.376,0,0,fp
k2,0.247,"[-0.196, 0.69]",0.443,1.113,0.270,1,0.200,109904396.108,0.104,0.000,0.247,0,0,fp
k3,0.265,"[-0.425, 0.955]",0.690,0.767,0.446,1,0.200,109904396.108,0.104,0.000,0.265,0,0,fp
k4,-0.011,"[-0.397, 0.376]",0.386,-0.055,0.956,1,0.200,109904396.108,0.104,0.000,-0.011,0,0,fp
k5,0.018,"[-0.401, 0.438]",0.420,0.088,0.930,1,0.200,109904396.108,0.104,0.000,0.018,0,0,fp
vot,0.167,,,,,1,0.200,109904396.108,0.104,0.167,0.000,0,0,fn
tt,-1.125,"[-1.54, -0.711]",0.415,-5.415,0.000,1,0.250,79744873.638,0.088,-1.000,-0.125,0,0,fn
c,-6.668,"[-8.899, -4.438]",2.230,-5.968,0.000,1,0.250,79744873.638,0.088,-6.000,-0.668,0,0,fn
s,-3.198,"[-4.245, -2.151]",1.047,-6.097,0.000,1,0.250,79744873.638,0.088,-3.000,-0.198,0,0,fn
k0,-0.454,"[-0.928, 0.019]",0.473,-1.915,0.060,1,0.250,79744873.638,0.088,0.000,-0.454,0,1,fp
k1,0.316,"[-0.106, 0.739]",0.423,1.494,0.140,1,0.250,79744873.638,0.088,0.000,0.316,0,0,fp
k2,0.615,"[0.087, 1.143]",0.528,2.323,0.023,1,0.250,79744873.638,0.088,0.000,0.615,0,1,fp
k3,-0.210,"[-0.94, 0.52]",0.730,-0.575,0.567,1,0.250,79744873.638,0.088,0.000,-0.210,0,0,fp
k4,0.117,"[-0.318, 0.553]",0.435,0.538,0.592,1,0.250,79744873.638,0.088,0.000,0.117,0,0,fp
k5,-0.224,"[-0.638, 0.19]",0.414,-1.080,0.284,1,0.250,79744873.638,0.088,0.000,-0.224,0,0,fp
vot,0.169,,,,,1,0.250,79744873.638,0.088,0.167,0.002,0,0,fn
tt,-1.349,"[-1.806, -0.892]",0.457,-5.887,0.000,2,0.150,97318155.191,0.099,-1.000,-0.349,0,0,fn
c,-7.835,"[-10.484, -5.186]",2.649,-5.904,0.000,2,0.150,97318155.191,0.099,-6.000,-1.835,0,0,fn
s,-3.661,"[-4.881, -2.441]",1.220,-5.992,0.000,2,0.150,97318155.191,0.099,-3.000,-0.661,0,0,fn
k0,-0.321,"[-0.818, 0.176]",0.497,-1.288,0.202,2,0.150,97318155.191,0.099,0.000,-0.321,0,0,fp
k1,-0.084,"[-0.731, 0.562]",0.646,-0.260,0.796,2,0.150,97318155.191,0.099,0.000,-0.084,0,0,fp
k2,0.178,"[-0.619, 0.975]",0.797,0.445,0.658,2,0.150,97318155.191,0.099,0.000,0.178,0,0,fp
k3,0.615,"[0.065, 1.164]",0.550,2.232,0.029,2,0.150,97318155.191,0.099,0.000,0.615,0,1,fp
k4,0.150,"[-0.305, 0.605]",0.455,0.656,0.514,2,0.150,97318155.191,0.099,0.000,0.150,0,0,fp
k5,-0.671,"[-1.574, 0.231]",0.902,-1.484,0.142,2,0.150,97318155.191,0.099,0.000,-0.671,0,0,fp
vot,0.172,,,,,2,0.150,97318155.191,0.099,0.167,0.005,0,0,fn
tt,-1.016,"[-1.336, -0.696]",0.320,-6.333,0.000,2,0.200,125189849.512,0.115,-1.000,-0.016,0,0,fn
c,-5.703,"[-7.393, -4.013]",1.690,-6.737,0.000,2,0.200,125189849.512,0.115,-6.000,0.297,0,0,fn
s,-2.626,"[-3.429, -1.824]",0.802,-6.536,0.000,2,0.200,125189849.512,0.115,-3.000,0.374,0,0,fn
k0,-0.096,"[-0.549, 0.358]",0.454,-0.421,0.675,2,0.200,125189849.512,0.115,0.000,-0.096,0,0,fp
k1,-0.131,"[-0.672, 0.411]",0.542,-0.481,0.632,2,0.200,125189849.512,0.115,0.000,-0.131,0,0,fp
k2,-0.173,"[-0.789, 0.444]",0.616,-0.559,0.578,2,0.200,125189849.512,0.115,0.000,-0.173,0,0,fp
k3,0.191,"[-0.247, 0.629]",0.438,0.871,0.387,2,0.200,125189849.512,0.115,0.000,0.191,0,0,fp
k4,0.148,"[-0.254, 0.551]",0.403,0.735,0.465,2,0.200,125189849.512,0.115,0.000,0.148,0,0,fp
k5,0.156,"[-0.532, 0.843]",0.688,0.452,0.653,2,0.200,125189849.512,0.115,0.000,0.156,0,0,fp
vot,0.178,,,,,2,0.200,125189849.512,0.115,0.167,0.011,0,0,fn
tt,-0.935,"[-1.228, -0.642]",0.293,-6.374,0.000,2,0.250,108480340.117,0.106,-1.000,0.065,0,0,fn
c,-5.720,"[-7.406, -4.034]",1.686,-6.770,0.000,2,0.250,108480340.117,0.106,-6.000,0.280,0,0,fn
s,-2.700,"[-3.51, -1.889]",0.811,-6.648,0.000,2,0.250,108480340.117,0.106,-3.000,0.300,0,0,fn
k0,0.113,"[-0.34, 0.566]",0.453,0.499,0.620,2,0.250,108480340.117,0.106,0.000,0.113,0,0,fp
k1,-0.415,"[-0.884, 0.055]",0.469,-1.763,0.082,2,0.250,108480340.117,0.106,0.000,-0.415,0,1,fp
k2,0.621,"[0.012, 1.23]",0.609,2.035,0.046,2,0.250,108480340.117,0.106,0.000,0.621,0,1,fp
k3,0.014,"[-0.365, 0.392]",0.379,0.072,0.943,2,0.250,108480340.117,0.106,0.000,0.014,0,0,fp
k4,0.078,"[-0.326, 0.482]",0.404,0.384,0.702,2,0.250,108480340.117,0.106,0.000,0.078,0,0,fp
k5,-0.667,"[-1.34, 0.006]",0.673,-1.978,0.052,2,0.250,108480340.117,0.106,0.000,-0.667,0,1,fp
vot,0.164,,,,,2,0.250,108480340.117,0.106,0.167,-0.003,0,0,fn
