stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.289,"[-2.028, -0.549]",0.740,-2.907,0.005
norefined,c,-7.644,"[-11.932, -3.357]",4.287,-2.974,0.004
norefined,s,-2.670,"[-4.399, -0.941]",1.729,-2.576,0.012
norefined,k0,-0.368,"[-1.186, 0.45]",0.818,-0.751,0.455
norefined,k1,0.823,"[-0.598, 2.243]",1.421,0.966,0.338
norefined,k2,0.746,"[-0.104, 1.596]",0.850,1.464,0.148
norefined,k3,-1.492,"[-2.826, -0.157]",1.334,-1.864,0.067
norefined,k4,-0.079,"[-1.124, 0.966]",1.045,-0.126,0.900
norefined,k5,-0.369,"[-1.144, 0.406]",0.775,-0.794,0.430
refined,tt,-0.685,"[-0.894, -0.475]",0.210,-5.443,0.000
refined,c,-4.307,"[-5.568, -3.045]",1.262,-5.694,0.000
refined,s,-2.054,"[-2.724, -1.384]",0.670,-5.113,0.000
refined,k0,-0.441,"[-0.805, -0.077]",0.364,-2.021,0.047
refined,k1,0.455,"[-0.01, 0.921]",0.465,1.632,0.107
refined,k2,-0.011,"[-0.313, 0.29]",0.302,-0.061,0.951
refined,k3,-0.433,"[-0.866, 0.0]",0.433,-1.667,0.100
refined,k4,0.305,"[-0.123, 0.732]",0.427,1.189,0.239
refined,k5,-0.026,"[-0.353, 0.3]",0.327,-0.135,0.893
