stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.407,"[-2.647, -0.166]",1.240,-1.892,0.063
norefined,c,-7.704,"[-14.684, -0.724]",6.980,-1.841,0.070
norefined,s,-2.533,"[-5.198, 0.133]",2.666,-1.585,0.118
norefined,k0,-0.313,"[-1.74, 1.114]",1.427,-0.366,0.716
norefined,k1,0.762,"[-1.809, 3.334]",2.572,0.494,0.623
norefined,k2,0.807,"[-0.622, 2.236]",1.429,0.942,0.350
norefined,k3,-1.270,"[-3.304, 0.765]",2.034,-1.041,0.302
norefined,k4,-0.134,"[-1.959, 1.69]",1.825,-0.123,0.903
norefined,k5,-0.419,"[-1.69, 0.853]",1.272,-0.549,0.585
refined,tt,-0.903,"[-1.529, -0.277]",0.626,-2.406,0.019
refined,c,-5.143,"[-8.76, -1.527]",3.616,-2.372,0.021
refined,s,-2.420,"[-4.151, -0.689]",1.731,-2.332,0.023
refined,k0,-0.279,"[-0.997, 0.439]",0.718,-0.647,0.520
refined,k1,-0.501,"[-1.534, 0.532]",1.033,-0.809,0.421
refined,k2,-0.192,"[-0.826, 0.442]",0.634,-0.506,0.615
refined,k3,0.976,"[-0.114, 2.065]",1.089,1.494,0.140
refined,k4,-0.139,"[-1.019, 0.741]",0.880,-0.264,0.793
refined,k5,0.641,"[-0.199, 1.482]",0.840,1.273,0.207
