stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.266,"[-1.743, -0.789]",0.477,-5.297,0.000
norefined,c,-5.983,"[-8.274, -3.691]",2.291,-5.212,0.000
norefined,s,-3.224,"[-4.57, -1.877]",1.346,-4.779,0.000
norefined,k0,0.313,"[-0.424, 1.051]",0.737,0.848,0.399
norefined,k1,0.927,"[0.21, 1.644]",0.717,2.581,0.012
norefined,k2,0.111,"[-0.631, 0.852]",0.742,0.298,0.767
norefined,k3,-0.895,"[-1.811, 0.022]",0.916,-1.948,0.056
norefined,k4,-0.318,"[-0.912, 0.275]",0.593,-1.071,0.288
norefined,k5,-0.469,"[-1.017, 0.078]",0.547,-1.713,0.091
refined,tt,-0.911,"[-1.117, -0.705]",0.206,-8.828,0.000
refined,c,-5.272,"[-6.514, -4.029]",1.242,-8.470,0.000
refined,s,-2.646,"[-3.271, -2.021]",0.625,-8.453,0.000
refined,k0,-0.042,"[-0.453, 0.37]",0.412,-0.202,0.841
refined,k1,0.327,"[-0.008, 0.662]",0.335,1.948,0.056
refined,k2,-0.265,"[-0.667, 0.137]",0.402,-1.314,0.193
refined,k3,-0.110,"[-0.507, 0.287]",0.397,-0.553,0.582
refined,k4,0.107,"[-0.236, 0.45]",0.343,0.622,0.536
refined,k5,-0.059,"[-0.338, 0.22]",0.279,-0.422,0.675
