stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.257,-4.001,-3.476,0.258,-0.534,-0.016,1.530,0.355,1.097,1079555923.634,0.064
norefined,2,-0.739,-4.053,-3.414,0.216,-0.545,-0.041,1.449,0.342,1.055,495781617.153,0.182
norefined,3,-0.865,-4.297,-3.241,0.074,-0.600,-0.030,1.168,0.289,0.858,320589739.788,0.201
norefined,4,-0.612,-4.534,-3.066,-0.032,-0.650,0.060,0.931,0.296,0.710,241581754.704,0.135
norefined,5,-1.069,-4.597,-2.910,-0.082,-0.635,0.052,0.852,0.257,0.660,239378551.896,0.233
norefined,6,-0.619,-4.725,-2.889,-0.134,-0.687,0.115,0.727,0.283,0.586,174483937.243,0.131
norefined,7,-1.096,-4.743,-2.777,-0.160,-0.664,0.071,0.691,0.214,0.560,194866880.859,0.231
norefined,8,-0.636,-4.857,-2.772,-0.203,-0.711,0.132,0.580,0.247,0.497,142372057.529,0.131
norefined,9,-1.117,-4.850,-2.688,-0.213,-0.681,0.071,0.571,0.167,0.490,173274933.873,0.230
norefined,10,-0.650,-4.950,-2.701,-0.250,-0.724,0.130,0.470,0.206,0.434,126720266.777,0.131
refined,11,-0.650,-4.950,-2.701,-0.250,-0.724,0.130,0.470,0.206,0.434,126720266.777,0.131
refined,12,-0.846,-5.518,-2.749,-0.269,-0.435,0.144,0.156,-0.400,0.394,55985481.826,0.153
refined,13,-0.851,-5.634,-2.739,-0.149,-0.340,0.070,0.161,-0.321,0.412,55405131.354,0.151
refined,14,-0.859,-5.668,-2.761,-0.166,-0.341,0.077,0.153,-0.331,0.406,55399448.460,0.152
refined,15,-0.856,-5.656,-2.752,-0.157,-0.341,0.074,0.158,-0.326,0.407,55398616.036,0.151
refined,16,-0.858,-5.662,-2.756,-0.160,-0.341,0.075,0.156,-0.328,0.407,55398454.408,0.151
refined,17,-0.857,-5.659,-2.754,-0.159,-0.341,0.074,0.157,-0.327,0.407,55398424.115,0.151
refined,18,-0.857,-5.660,-2.755,-0.160,-0.341,0.075,0.156,-0.327,0.407,55398418.312,0.151
refined,19,-0.857,-5.660,-2.755,-0.159,-0.341,0.075,0.157,-0.327,0.407,55398417.210,0.151
refined,20,-0.857,-5.660,-2.755,-0.159,-0.341,0.075,0.157,-0.327,0.407,55398416.999,0.151
