stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.751,-7.869,-1.280,-0.805,-0.592,-0.057,-1.187,-1.435,1.336,5530157842.056,-0.095
norefined,2,0.263,-7.893,-1.319,-0.838,-0.646,-0.071,-1.219,-1.471,1.277,3509299745.398,-0.033
norefined,3,-0.229,-7.900,-1.325,-0.867,-0.690,-0.085,-1.243,-1.497,1.225,2271592686.376,0.029
norefined,4,-0.726,-7.880,-1.323,-0.900,-0.702,-0.087,-1.252,-1.496,1.188,1317304069.233,0.092
norefined,5,-1.150,-7.813,-1.490,-0.957,-0.631,0.029,-1.165,-1.422,1.131,1122982286.023,0.147
norefined,6,-1.322,-7.731,-1.825,-1.059,-0.513,0.205,-1.005,-1.310,1.038,985198368.322,0.171
norefined,7,-0.940,-7.728,-2.101,-1.112,-0.443,0.275,-0.906,-1.252,0.983,968620965.265,0.122
norefined,8,-1.420,-7.655,-2.135,-1.138,-0.420,0.345,-0.848,-1.193,0.960,898445733.428,0.185
norefined,9,-0.973,-7.680,-2.332,-1.167,-0.368,0.365,-0.781,-1.163,0.914,871640208.381,0.127
norefined,10,-1.458,-7.609,-2.345,-1.183,-0.354,0.426,-0.732,-1.107,0.893,839541745.592,0.192
refined,11,-1.458,-7.609,-2.345,-1.183,-0.354,0.426,-0.732,-1.107,0.893,839541745.592,0.192
refined,12,-0.372,-3.640,-2.296,0.664,-0.205,0.153,0.054,1.678,0.047,1279548006.196,0.102
refined,13,-0.433,-2.236,-0.697,-0.467,0.082,-0.070,0.075,-0.066,-0.091,575621707.918,0.194
refined,14,-0.500,-3.088,-1.292,-0.120,0.018,-0.101,0.147,0.444,-0.144,404655351.802,0.162
refined,15,-0.648,-3.949,-1.749,-0.034,-0.066,-0.085,0.147,0.508,-0.196,395389271.119,0.164
refined,16,-0.748,-4.546,-2.046,0.026,-0.146,-0.037,0.106,0.549,-0.163,393253887.747,0.165
refined,17,-0.790,-4.794,-2.165,0.034,-0.168,-0.023,0.100,0.557,-0.126,392936138.127,0.165
refined,18,-0.807,-4.888,-2.212,0.032,-0.173,-0.022,0.103,0.556,-0.109,392887934.444,0.165
refined,19,-0.814,-4.926,-2.230,0.031,-0.175,-0.022,0.105,0.555,-0.102,392880117.521,0.165
refined,20,-0.816,-4.942,-2.238,0.031,-0.176,-0.022,0.105,0.555,-0.099,392878834.666,0.165
