stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.112,-4.901,-2.496,0.003,1.164,-1.613,-1.378,1.848,0.135,1673133747.427,0.023
norefined,2,-0.601,-4.869,-2.543,-0.050,1.113,-1.634,-1.388,1.827,0.099,1025253650.651,0.123
norefined,3,-0.443,-4.876,-2.848,-0.046,1.123,-1.473,-1.407,1.504,0.070,1017822472.028,0.091
norefined,4,-0.935,-4.818,-2.880,-0.082,1.090,-1.462,-1.397,1.501,0.038,1059364717.017,0.194
norefined,5,-0.470,-4.879,-2.984,-0.047,1.129,-1.408,-1.349,1.395,0.028,971840901.401,0.096
norefined,6,-0.963,-4.823,-3.004,-0.083,1.094,-1.401,-1.341,1.398,-0.004,1031794942.256,0.200
norefined,7,-0.493,-4.889,-3.090,-0.047,1.132,-1.353,-1.290,1.300,-0.015,939658888.104,0.101
norefined,8,-0.986,-4.834,-3.099,-0.082,1.096,-1.350,-1.283,1.307,-0.047,1010827783.414,0.204
norefined,9,-0.513,-4.905,-3.173,-0.044,1.131,-1.305,-1.233,1.215,-0.058,915400416.730,0.105
norefined,10,-1.006,-4.849,-3.175,-0.078,1.094,-1.304,-1.226,1.225,-0.089,993962179.300,0.207
refined,11,-0.513,-4.905,-3.173,-0.044,1.131,-1.305,-1.233,1.215,-0.058,915400416.730,0.105
refined,12,-0.672,-2.972,-2.234,0.357,-0.240,0.163,0.326,-0.630,-0.516,705530908.527,0.226
refined,13,-0.703,-3.617,-2.494,0.424,0.185,-0.016,0.073,-0.281,-0.484,646914385.151,0.194
refined,14,-0.774,-4.023,-2.725,0.510,0.279,-0.040,0.027,-0.203,-0.518,644856501.130,0.192
refined,15,-0.815,-4.237,-2.861,0.583,0.294,-0.039,0.022,-0.178,-0.542,644526743.135,0.192
refined,16,-0.841,-4.368,-2.946,0.625,0.298,-0.036,0.023,-0.169,-0.560,644440021.986,0.193
refined,17,-0.856,-4.438,-2.992,0.652,0.299,-0.033,0.026,-0.165,-0.570,644414568.704,0.193
refined,18,-0.864,-4.480,-3.019,0.667,0.300,-0.031,0.027,-0.164,-0.577,644406884.779,0.193
refined,19,-0.869,-4.502,-3.033,0.675,0.301,-0.030,0.028,-0.163,-0.580,644404527.783,0.193
refined,20,-0.871,-4.515,-3.042,0.680,0.301,-0.030,0.029,-0.162,-0.582,644403800.118,0.193
