stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,39.080,1.727,0.000,76,0,9,3131181359.633,501019721.123
refined,77.899,1.727,0.000,76,0,9,3131181359.633,273132039.684
