stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.667,"[-0.974, -0.36]",0.307,-4.335,0.000
norefined,c,-5.979,"[-8.784, -3.174]",2.805,-4.254,0.000
norefined,s,-2.380,"[-3.555, -1.205]",1.175,-4.043,0.000
norefined,k0,-0.391,"[-1.282, 0.5]",0.891,-0.875,0.384
norefined,k1,0.903,"[0.131, 1.675]",0.772,2.335,0.023
norefined,k2,0.494,"[-0.088, 1.075]",0.581,1.695,0.095
norefined,k3,-0.961,"[-1.655, -0.267]",0.694,-2.763,0.007
norefined,k4,0.278,"[-0.364, 0.919]",0.641,0.864,0.391
norefined,k5,0.399,"[-0.21, 1.007]",0.608,1.308,0.195
refined,tt,-0.787,"[-0.999, -0.575]",0.212,-7.396,0.000
refined,c,-5.247,"[-6.774, -3.721]",1.526,-6.861,0.000
refined,s,-2.559,"[-3.281, -1.836]",0.723,-7.068,0.000
refined,k0,0.086,"[-0.402, 0.573]",0.488,0.352,0.726
refined,k1,0.051,"[-0.375, 0.478]",0.426,0.240,0.811
refined,k2,-0.127,"[-0.458, 0.203]",0.331,-0.768,0.445
refined,k3,-0.192,"[-0.601, 0.217]",0.409,-0.935,0.353
refined,k4,0.151,"[-0.352, 0.653]",0.503,0.598,0.552
refined,k5,-0.182,"[-0.61, 0.245]",0.427,-0.851,0.398
