stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.809,-5.756,-1.311,-0.353,1.326,1.528,-1.237,0.768,1.164,9020209905.688,-0.140
norefined,2,0.350,-5.812,-1.330,-0.430,1.372,1.373,-1.242,0.708,1.131,6277134632.103,-0.060
norefined,3,-0.124,-5.843,-1.367,-0.489,1.369,1.261,-1.259,0.641,1.084,2287028694.369,0.021
norefined,4,-0.596,-5.858,-1.413,-0.540,1.346,1.167,-1.272,0.588,0.987,720896166.848,0.102
norefined,5,-0.999,-5.853,-1.596,-0.538,1.290,1.003,-1.236,0.470,0.891,571437090.568,0.171
norefined,6,-0.659,-5.915,-1.864,-0.476,1.208,0.870,-1.132,0.344,0.841,437927931.472,0.111
norefined,7,-1.109,-5.860,-2.013,-0.449,1.205,0.775,-1.067,0.285,0.773,408221916.212,0.189
norefined,8,-0.686,-5.930,-2.193,-0.386,1.148,0.683,-0.956,0.210,0.752,331900019.064,0.116
norefined,9,-1.157,-5.869,-2.287,-0.370,1.162,0.600,-0.887,0.189,0.690,338840033.888,0.197
norefined,10,-0.704,-5.942,-2.409,-0.301,1.116,0.534,-0.780,0.141,0.689,280241607.758,0.118
refined,11,-0.704,-5.942,-2.409,-0.301,1.116,0.534,-0.780,0.141,0.689,280241607.758,0.118
refined,12,-0.734,-4.313,-2.227,-0.257,0.301,-0.459,0.550,-0.148,0.621,167042386.126,0.170
refined,13,-0.868,-5.331,-2.651,-0.371,0.534,-0.337,0.580,-0.398,0.862,154198433.163,0.163
refined,14,-0.926,-5.741,-2.842,-0.447,0.564,-0.310,0.645,-0.479,0.942,153648717.723,0.161
refined,15,-0.951,-5.907,-2.926,-0.498,0.554,-0.311,0.693,-0.523,0.988,153556037.441,0.161
refined,16,-0.966,-6.004,-2.976,-0.534,0.546,-0.315,0.726,-0.552,1.018,153520552.671,0.161
refined,17,-0.975,-6.068,-3.008,-0.558,0.539,-0.317,0.748,-0.572,1.038,153504587.994,0.161
refined,18,-0.982,-6.114,-3.031,-0.576,0.535,-0.319,0.764,-0.586,1.053,153496895.742,0.161
refined,19,-0.987,-6.147,-3.048,-0.589,0.532,-0.320,0.776,-0.597,1.063,153493026.920,0.161
refined,20,-0.991,-6.171,-3.060,-0.598,0.530,-0.321,0.784,-0.604,1.071,153491023.806,0.161
