stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.893,"[-1.953, 0.167]",1.060,-1.682,0.097
norefined,c,-7.945,"[-18.025, 2.135]",10.080,-1.573,0.120
norefined,s,-4.368,"[-9.534, 0.797]",5.165,-1.688,0.096
norefined,k0,0.156,"[-1.449, 1.762]",1.605,0.195,0.846
norefined,k1,0.108,"[-2.081, 2.297]",2.189,0.098,0.922
norefined,k2,-0.447,"[-2.55, 1.655]",2.103,-0.425,0.672
norefined,k3,-0.959,"[-3.418, 1.5]",2.459,-0.778,0.439
norefined,k4,-0.850,"[-3.403, 1.703]",2.553,-0.664,0.509
norefined,k5,0.262,"[-1.728, 2.252]",1.990,0.263,0.793
refined,tt,-0.211,"[-0.275, -0.146]",0.064,-6.517,0.000
refined,c,-0.844,"[-1.217, -0.471]",0.373,-4.516,0.000
refined,s,-0.801,"[-1.087, -0.515]",0.286,-5.588,0.000
refined,k0,-0.014,"[-0.376, 0.347]",0.362,-0.079,0.937
refined,k1,0.053,"[-0.3, 0.405]",0.353,0.297,0.767
refined,k2,0.414,"[0.163, 0.665]",0.251,3.289,0.002
refined,k3,0.149,"[-0.171, 0.468]",0.320,0.927,0.357
refined,k4,0.250,"[-0.093, 0.594]",0.343,1.453,0.151
refined,k5,0.046,"[-0.199, 0.29]",0.244,0.372,0.711
