stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.474,"[-2.356, -0.592]",0.882,-3.334,0.001
norefined,c,-8.068,"[-13.559, -2.577]",5.491,-2.933,0.005
norefined,s,-3.715,"[-6.259, -1.171]",2.544,-2.914,0.005
norefined,k0,-0.015,"[-1.039, 1.009]",1.024,-0.029,0.977
norefined,k1,-0.169,"[-1.266, 0.927]",1.097,-0.308,0.759
norefined,k2,-0.705,"[-1.908, 0.499]",1.203,-1.169,0.247
norefined,k3,-0.737,"[-2.252, 0.778]",1.515,-0.971,0.335
norefined,k4,-1.263,"[-2.708, 0.182]",1.445,-1.745,0.086
norefined,k5,-0.101,"[-1.142, 0.94]",1.041,-0.194,0.847
refined,tt,-1.218,"[-1.899, -0.538]",0.680,-3.575,0.001
refined,c,-6.482,"[-10.327, -2.638]",3.844,-3.365,0.001
refined,s,-2.866,"[-4.571, -1.162]",1.704,-3.356,0.001
refined,k0,0.348,"[-0.497, 1.194]",0.846,0.823,0.414
refined,k1,-0.312,"[-1.101, 0.477]",0.789,-0.790,0.432
refined,k2,-0.421,"[-1.289, 0.447]",0.868,-0.968,0.336
refined,k3,0.341,"[-0.482, 1.163]",0.822,0.827,0.411
refined,k4,-0.151,"[-0.972, 0.671]",0.822,-0.366,0.716
refined,k5,-0.686,"[-1.536, 0.164]",0.850,-1.611,0.112
