stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,66.637,2.023,0.000,76,0,9,2998635021.759,301334207.675
refined,187.608,2.023,0.000,76,0,9,2998635021.759,114447285.121
