stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.033,-7.107,-2.648,-1.665,0.841,0.474,1.180,1.926,0.063,1500336598.882,0.286
norefined,2,-1.583,-7.215,-2.753,-1.694,0.788,0.425,1.166,1.833,-0.037,744522459.135,0.219
norefined,3,-1.128,-7.289,-2.889,-1.670,0.767,0.375,1.122,1.763,-0.133,409703643.957,0.155
norefined,4,-1.093,-7.285,-3.176,-1.596,0.752,0.177,0.971,1.502,-0.306,305841866.074,0.150
norefined,5,-1.497,-7.238,-3.302,-1.484,0.770,0.060,0.884,1.326,-0.358,358245232.155,0.207
norefined,6,-1.040,-7.296,-3.436,-1.419,0.750,0.021,0.829,1.276,-0.445,283993949.424,0.142
norefined,7,-1.530,-7.252,-3.413,-1.377,0.777,0.002,0.811,1.218,-0.421,327990631.433,0.211
norefined,8,-1.068,-7.310,-3.541,-1.316,0.755,-0.030,0.760,1.172,-0.505,260506033.997,0.146
norefined,9,-1.558,-7.267,-3.506,-1.274,0.780,-0.041,0.747,1.117,-0.478,304674736.187,0.214
norefined,10,-1.093,-7.326,-3.628,-1.219,0.757,-0.066,0.700,1.074,-0.559,243373905.400,0.149
refined,11,-1.093,-7.326,-3.628,-1.219,0.757,-0.066,0.700,1.074,-0.559,243373905.400,0.149
refined,12,-0.693,-3.673,-1.719,0.787,0.274,0.269,-0.130,-0.560,-0.010,210375831.772,0.189
refined,13,-0.949,-5.580,-2.608,0.524,0.470,0.339,-0.078,-0.393,-0.032,122227435.744,0.170
refined,14,-1.082,-6.437,-3.090,0.476,0.509,0.398,-0.011,-0.345,0.003,116015115.599,0.168
refined,15,-1.101,-6.542,-3.157,0.456,0.500,0.372,0.014,-0.342,0.026,115851647.417,0.168
refined,16,-1.107,-6.578,-3.175,0.455,0.501,0.365,0.017,-0.345,0.034,115843261.123,0.168
refined,17,-1.109,-6.586,-3.180,0.454,0.501,0.363,0.017,-0.346,0.036,115842699.925,0.168
refined,18,-1.109,-6.589,-3.182,0.454,0.501,0.362,0.017,-0.347,0.037,115842661.881,0.168
refined,19,-1.109,-6.589,-3.182,0.454,0.501,0.362,0.017,-0.347,0.037,115842659.299,0.168
refined,20,-1.109,-6.590,-3.182,0.454,0.501,0.362,0.017,-0.347,0.037,115842659.124,0.168
