stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.320,-4.128,-1.075,0.575,0.828,-0.376,-0.901,0.426,-1.538,3247703084.371,1584,0,0,-0.077
norefined,2,-0.170,-4.135,-1.099,0.554,0.800,-0.408,-0.935,0.362,-1.586,1564948490.420,1584,0,0,0.041
norefined,3,-0.649,-4.123,-1.158,0.552,0.794,-0.418,-0.886,0.249,-1.548,1252013484.272,1584,0,0,0.157
norefined,4,-0.260,-4.163,-1.397,0.515,0.837,-0.459,-0.744,0.165,-1.463,1326531201.064,1584,0,0,0.062
norefined,5,-0.741,-4.145,-1.429,0.529,0.834,-0.466,-0.689,0.063,-1.405,1179510934.475,1584,0,0,0.179
norefined,6,-0.271,-4.187,-1.568,0.510,0.861,-0.493,-0.631,0.034,-1.363,1259330239.662,1584,0,0,0.065
norefined,7,-0.761,-4.170,-1.569,0.530,0.856,-0.496,-0.593,-0.039,-1.315,1133493054.963,1584,0,0,0.183
norefined,8,-0.286,-4.209,-1.697,0.519,0.880,-0.519,-0.543,-0.060,-1.274,1215364528.531,1584,0,0,0.068
norefined,9,-0.779,-4.192,-1.679,0.542,0.874,-0.519,-0.514,-0.113,-1.233,1101811664.953,1584,0,0,0.186
norefined,10,-0.300,-4.229,-1.800,0.535,0.897,-0.540,-0.470,-0.130,-1.194,1183540752.419,1584,0,0,0.071
refined,11,-0.779,-4.192,-1.679,0.542,0.874,-0.519,-0.514,-0.113,-1.233,1101811664.953,1584,0,0,0.186
refined,12,-0.384,-2.465,-2.218,1.092,1.632,0.124,0.330,-0.053,0.788,1842359496.904,1584,0,0,0.156
refined,13,-0.037,-0.150,0.365,-0.129,-0.407,-0.232,-0.061,0.025,-0.430,2157753229.055,1584,0,0,0.245
refined,14,-0.138,-0.884,-0.456,0.153,0.462,0.159,0.062,-0.088,-0.121,731387628.660,1584,0,0,0.156
refined,15,-0.172,-1.064,-0.607,0.265,0.498,0.067,0.083,-0.097,-0.107,683696451.459,1584,0,0,0.161
refined,16,-0.188,-1.167,-0.673,0.312,0.519,0.039,0.091,-0.105,-0.103,677246351.658,1584,0,0,0.161
refined,17,-0.194,-1.212,-0.700,0.330,0.527,0.028,0.093,-0.109,-0.102,676278162.151,1584,0,0,0.160
refined,18,-0.197,-1.231,-0.711,0.338,0.530,0.024,0.094,-0.111,-0.101,676126306.981,1584,0,0,0.160
refined,19,-0.198,-1.238,-0.716,0.340,0.531,0.023,0.094,-0.111,-0.101,676102067.093,1584,0,0,0.160
refined,20,-0.199,-1.241,-0.718,0.342,0.531,0.022,0.094,-0.111,-0.101,676098170.231,1584,0,0,0.160
