link_type,alpha,beta,tf,k,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,id,rhoj,lane,ff_speed,length,inrix_id.1,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix,free_flow_speed,tt_sd_adj,speed_sd_length,speed_reliability,tt_avg_adj,median_inc_length,no_incidents,incident,no_bus_stops,bus_stop,no_intersections,intersection,low_inc,high_inc,reliable_tt,unreliable_tt,reliable_speed,unreliable_speed
LWRLK,0.150,4.000,0.167,2400.000,1,4675.000,2400.000,0.167,60,,[601411],9,200.000,3,60,0.167,,0.385,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.371,0.000,0.000,0.000,0.167,1.000,0.000,0.000,0.000,0.079,0.019,1,0,1,0,1,0,1,0,0,1,0,1
LWRLK,0.150,4.000,0.537,2400.000,0,,2400.000,0.537,60,441671213.000,[],10,200.000,3,60,0.537,441671213.000,0.384,0.413,0.386,0.139,36.040,0.256,0.227,0.179,0.000,0.043,0.003,0.227,0.000,0.367,0.553,0.000,0.250,0.111,0.894,0.601,0.290,0.260,0.778,0.020,0.150,1,0,0,1,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.021,1800.000,1,1058.000,1800.000,0.021,55,400421634.000,[602210],11,180.000,1,55,0.019,400421634.000,0.966,0.945,0.949,0.181,72.079,0.123,0.044,0.291,0.000,0.016,0.000,0.044,0.000,0.179,0.444,0.000,0.000,0.000,0.016,1.188,0.001,0.004,0.835,0.000,0.003,1,0,1,0,1,0,1,0,0,1,1,0
LWRLK,0.150,4.000,0.286,2400.000,1,1058.000,2400.000,0.286,65,400421634.000,[602210],489,200.000,3,65,0.310,400421634.000,0.966,0.945,0.949,0.181,72.079,0.123,0.044,0.291,0.000,0.016,0.000,0.044,0.000,0.179,0.444,0.175,0.000,0.222,0.258,1.202,0.016,0.072,0.835,0.005,0.042,0,1,1,0,0,1,1,0,0,1,1,0
LWRLK,0.150,4.000,0.156,1800.000,1,2307.000,1800.000,0.156,60,1626686637.000,"[601413, 602413]",12,180.000,1,60,0.156,1626686637.000,0.951,0.963,0.934,0.413,70.215,0.120,0.044,0.257,0.000,0.025,0.000,0.044,0.000,0.367,0.553,0.300,0.000,0.222,0.133,1.173,0.008,0.035,0.806,0.002,0.043,0,1,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.519,2400.000,1,2346.600,2400.000,0.519,60,1626631905.000,[602413],614,200.000,3,60,0.519,1626631905.000,0.954,0.972,0.938,0.168,70.836,0.115,0.043,0.260,0.000,0.016,0.000,0.043,0.000,0.364,0.320,0.625,0.000,0.333,0.440,1.180,0.027,0.113,0.802,0.008,0.144,0,1,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.019,1800.000,0,,1800.000,0.019,35,429471497.000,[],13,200.000,1,35,0.011,429471497.000,0.268,0.321,0.244,0.079,31.690,0.290,0.409,0.282,0.000,0.038,0.003,0.409,0.000,0.393,0.502,0.000,0.000,0.000,0.021,0.524,0.012,0.006,0.631,0.001,0.003,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.017,1800.000,0,,1800.000,0.017,40,1626736434.000,[],14,200.000,3,40,0.012,1626736434.000,0.268,0.321,0.244,0.317,31.690,0.290,0.409,0.282,0.000,0.151,0.024,0.409,0.000,0.393,0.502,0.000,0.000,0.111,0.022,0.545,0.013,0.007,0.631,0.001,0.004,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.156,1800.000,0,,1800.000,0.156,40,429473541.000,[],225,200.000,3,40,0.104,429473541.000,0.289,0.367,0.281,0.093,32.933,0.349,0.426,0.262,0.000,0.049,0.003,0.426,0.000,0.393,0.502,0.000,0.000,0.222,0.189,0.550,0.115,0.069,0.637,0.005,0.031,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.056,1800.000,0,,1800.000,0.056,35,1626613838.000,[],1231,200.000,3,35,0.032,1626613838.000,0.419,0.514,0.392,0.226,49.088,0.535,0.469,0.326,0.000,0.123,0.016,0.469,0.000,0.393,0.502,0.000,0.000,0.111,0.040,0.800,0.027,0.032,0.634,0.001,0.010,1,0,1,0,0,1,0,1,0,1,0,1
