stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,272364383.737,13905,0,0,
norefined,2,-0.500,246153335.813,14397,2706,674,
norefined,3,-1.000,225589490.123,14953,3058,734,
norefined,4,-1.500,213320159.696,15505,3036,708,
norefined,5,-2.000,205912805.546,16061,3058,694,
norefined,6,-2.500,198337172.065,16621,3080,669,
norefined,7,-2.000,200665267.730,17177,3058,686,
norefined,8,-2.500,198596823.803,17729,3036,652,
norefined,9,-3.000,196806499.707,18289,3080,639,
norefined,10,-3.500,196018491.559,18289,0,0,
refined,11,-3.500,196018491.559,18289,0,0,
refined,12,-3.142,193729652.617,18289,2214,384,
refined,13,-1.093,202977773.159,18289,2502,24,
refined,14,-1.667,197926950.652,18289,2484,35,
refined,15,-2.233,195891059.105,18289,2502,35,
refined,16,-2.215,196233619.400,18289,2520,44,
refined,17,-2.228,196301137.146,18289,2502,42,
refined,18,-2.235,196388590.378,18289,2484,39,
refined,19,-2.203,196285793.623,18289,2520,113,
refined,20,-2.189,196308137.307,18289,0,0,
