stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.241,"[-2.296, -0.186]",1.055,-1.961,0.054
norefined,c,-7.093,"[-12.758, -1.427]",5.666,-2.088,0.041
norefined,s,-2.252,"[-4.431, -0.073]",2.179,-1.723,0.089
norefined,k0,0.915,"[-0.367, 2.196]",1.281,1.190,0.238
norefined,k1,0.404,"[-0.61, 1.417]",1.013,0.664,0.509
norefined,k2,0.858,"[-0.396, 2.111]",1.253,1.141,0.258
norefined,k3,-0.175,"[-1.314, 0.963]",1.139,-0.257,0.798
norefined,k4,-0.706,"[-2.237, 0.825]",1.531,-0.769,0.445
norefined,k5,0.478,"[-0.774, 1.73]",1.252,0.637,0.527
refined,tt,-1.187,"[-1.882, -0.492]",0.695,-2.849,0.006
refined,c,-6.903,"[-11.125, -2.682]",4.222,-2.727,0.008
refined,s,-4.055,"[-6.614, -1.497]",2.558,-2.644,0.010
refined,k0,-0.081,"[-0.837, 0.675]",0.756,-0.178,0.859
refined,k1,-0.102,"[-0.821, 0.616]",0.719,-0.237,0.813
refined,k2,-0.283,"[-0.88, 0.313]",0.596,-0.793,0.431
refined,k3,0.397,"[-0.38, 1.173]",0.776,0.853,0.397
refined,k4,0.121,"[-0.692, 0.933]",0.812,0.248,0.805
refined,k5,-0.412,"[-1.36, 0.537]",0.949,-0.723,0.472
