stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.954,"[-2.17, 0.262]",1.216,-1.309,0.195
norefined,c,-7.109,"[-15.377, 1.159]",8.268,-1.434,0.156
norefined,s,-2.305,"[-5.886, 1.275]",3.580,-1.074,0.287
norefined,k0,0.715,"[-1.373, 2.802]",2.088,0.571,0.570
norefined,k1,0.467,"[-0.957, 1.891]",1.424,0.547,0.586
norefined,k2,0.755,"[-0.86, 2.37]",1.615,0.780,0.438
norefined,k3,-0.430,"[-2.202, 1.343]",1.773,-0.404,0.687
norefined,k4,-0.880,"[-3.587, 1.828]",2.707,-0.542,0.590
norefined,k5,0.388,"[-1.434, 2.209]",1.822,0.355,0.724
refined,tt,-1.383,"[-3.388, 0.622]",2.005,-1.151,0.254
refined,c,-9.622,"[-22.886, 3.642]",13.264,-1.210,0.231
refined,s,-5.163,"[-12.996, 2.669]",7.833,-1.099,0.275
refined,k0,0.411,"[-1.538, 2.36]",1.949,0.352,0.726
refined,k1,0.185,"[-1.469, 1.839]",1.654,0.187,0.853
refined,k2,-0.509,"[-1.824, 0.806]",1.315,-0.645,0.521
refined,k3,0.639,"[-1.618, 2.896]",2.257,0.473,0.638
refined,k4,-0.972,"[-3.529, 1.585]",2.557,-0.634,0.528
refined,k5,-0.189,"[-2.171, 1.794]",1.982,-0.159,0.874
