stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,102.732,2.023,0.000,0,9,3082059926.276,208249204.086,76
refined,230.739,2.023,0.000,0,9,3082059926.276,96330163.081,76
