stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.286,"[-2.137, -0.435]",0.851,-2.521,0.014
norefined,c,-7.631,"[-12.575, -2.687]",4.944,-2.574,0.012
norefined,s,-2.627,"[-4.598, -0.656]",1.971,-2.223,0.030
norefined,k0,-0.445,"[-1.44, 0.55]",0.995,-0.746,0.458
norefined,k1,0.840,"[-0.85, 2.529]",1.690,0.829,0.410
norefined,k2,0.725,"[-0.275, 1.725]",1.000,1.209,0.231
norefined,k3,-1.564,"[-3.189, 0.061]",1.625,-1.605,0.113
norefined,k4,-0.060,"[-1.299, 1.18]",1.239,-0.080,0.936
norefined,k5,-0.358,"[-1.289, 0.574]",0.932,-0.640,0.524
refined,tt,-0.596,"[-0.827, -0.366]",0.230,-4.318,0.000
refined,c,-3.834,"[-5.233, -2.435]",1.399,-4.572,0.000
refined,s,-1.782,"[-2.524, -1.041]",0.742,-4.008,0.000
refined,k0,-0.518,"[-0.974, -0.063]",0.455,-1.898,0.062
refined,k1,0.546,"[-0.015, 1.107]",0.561,1.624,0.109
refined,k2,0.006,"[-0.355, 0.367]",0.361,0.027,0.979
refined,k3,-0.513,"[-1.038, 0.012]",0.525,-1.630,0.108
refined,k4,0.355,"[-0.151, 0.861]",0.506,1.169,0.246
refined,k5,-0.027,"[-0.422, 0.369]",0.395,-0.112,0.911
