stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,7.785,1.727,0.000,0,9,3803534159.395,1859213532.571,76
refined,7.785,1.727,0.000,0,9,3803534159.395,1859213532.571,76
