stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,58.701,2.023,0.000,76,0,9,2878828435.742,323999971.225
refined,161.406,2.023,0.000,76,0,9,2878828435.742,126924481.601
