stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,73.624,2.023,0.000,76,0,9,2838982614.530,260702723.721
refined,229.939,2.023,0.000,76,0,9,2838982614.530,89031682.663
