stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.276,"[-2.816, 0.265]",1.541,-1.653,0.103
norefined,c,-7.020,"[-15.345, 1.305]",8.325,-1.683,0.097
norefined,s,-3.974,"[-8.474, 0.527]",4.501,-1.762,0.083
norefined,k0,0.539,"[-1.233, 2.311]",1.772,0.607,0.546
norefined,k1,0.658,"[-1.086, 2.403]",1.745,0.753,0.454
norefined,k2,0.340,"[-2.029, 2.709]",2.369,0.287,0.775
norefined,k3,0.698,"[-1.301, 2.697]",1.999,0.697,0.488
norefined,k4,0.081,"[-2.688, 2.849]",2.768,0.058,0.954
norefined,k5,0.655,"[-1.549, 2.859]",2.204,0.593,0.555
refined,tt,-0.213,"[-0.269, -0.156]",0.057,-7.512,0.000
refined,c,-1.525,"[-1.941, -1.11]",0.415,-7.328,0.000
refined,s,-0.784,"[-1.031, -0.538]",0.247,-6.352,0.000
refined,k0,0.132,"[-0.213, 0.478]",0.345,0.765,0.447
refined,k1,0.257,"[-0.006, 0.52]",0.263,1.950,0.055
refined,k2,0.413,"[0.056, 0.77]",0.357,2.311,0.024
refined,k3,-0.122,"[-0.424, 0.181]",0.302,-0.803,0.425
refined,k4,0.679,"[0.32, 1.039]",0.360,3.771,0.000
refined,k5,0.193,"[-0.112, 0.499]",0.306,1.262,0.211
