stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.394,"[-2.697, -0.091]",1.303,-2.135,0.036
norefined,c,-6.886,"[-13.253, -0.519]",6.367,-2.159,0.034
norefined,s,-3.548,"[-7.056, -0.04]",3.508,-2.019,0.048
norefined,k0,0.805,"[-0.542, 2.151]",1.346,1.193,0.237
norefined,k1,0.513,"[-1.21, 2.236]",1.723,0.594,0.554
norefined,k2,1.475,"[-0.416, 3.367]",1.892,1.557,0.124
norefined,k3,0.906,"[-1.053, 2.864]",1.959,0.923,0.359
norefined,k4,-0.318,"[-2.262, 1.627]",1.944,-0.326,0.745
norefined,k5,0.680,"[-1.468, 2.828]",2.148,0.632,0.530
refined,tt,-0.179,"[-0.23, -0.128]",0.051,-6.985,0.000
refined,c,-1.143,"[-1.523, -0.764]",0.379,-6.021,0.000
refined,s,-0.513,"[-0.724, -0.302]",0.211,-4.850,0.000
refined,k0,0.118,"[-0.127, 0.362]",0.245,0.960,0.340
refined,k1,0.020,"[-0.287, 0.327]",0.307,0.130,0.897
refined,k2,0.469,"[0.148, 0.79]",0.321,2.916,0.005
refined,k3,0.110,"[-0.182, 0.402]",0.292,0.750,0.456
refined,k4,-0.221,"[-0.598, 0.155]",0.377,-1.173,0.245
refined,k5,0.265,"[-0.115, 0.644]",0.380,1.392,0.168
