stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.314,"[-2.439, -0.188]",1.126,-2.329,0.023
norefined,c,-7.731,"[-14.322, -1.139]",6.592,-2.341,0.022
norefined,s,-3.437,"[-6.379, -0.494]",2.943,-2.331,0.023
norefined,k0,-0.808,"[-2.401, 0.785]",1.593,-1.012,0.315
norefined,k1,-0.591,"[-2.503, 1.32]",1.911,-0.618,0.539
norefined,k2,0.335,"[-1.319, 1.989]",1.654,0.404,0.687
norefined,k3,1.362,"[-0.449, 3.173]",1.811,1.501,0.138
norefined,k4,0.018,"[-1.213, 1.249]",1.231,0.029,0.977
norefined,k5,0.408,"[-1.095, 1.912]",1.503,0.542,0.590
refined,tt,-0.294,"[-0.396, -0.192]",0.102,-5.745,0.000
refined,c,-1.930,"[-2.59, -1.269]",0.661,-5.830,0.000
refined,s,-0.951,"[-1.27, -0.632]",0.319,-5.948,0.000
refined,k0,-0.270,"[-0.604, 0.064]",0.334,-1.616,0.111
refined,k1,-0.305,"[-0.697, 0.087]",0.392,-1.555,0.125
refined,k2,-0.170,"[-0.538, 0.198]",0.368,-0.923,0.360
refined,k3,0.558,"[0.255, 0.86]",0.303,3.678,0.000
refined,k4,0.173,"[-0.1, 0.446]",0.273,1.267,0.210
refined,k5,0.405,"[0.079, 0.731]",0.326,2.481,0.016
