stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.244,-5.052,-3.601,-0.654,-0.249,-1.347,1.045,0.247,0.920,2050081676.877,0.048
norefined,2,-0.741,-5.046,-3.577,-0.655,-0.270,-1.348,1.008,0.237,0.900,1113011078.890,0.147
norefined,3,-1.229,-5.026,-3.504,-0.623,-0.239,-1.310,1.014,0.195,0.898,1229474204.716,0.245
norefined,4,-0.747,-5.073,-3.605,-0.594,-0.230,-1.266,1.011,0.235,0.890,1100165481.624,0.147
norefined,5,-1.236,-5.052,-3.531,-0.565,-0.201,-1.229,1.017,0.194,0.887,1213093218.817,0.245
norefined,6,-0.753,-5.098,-3.631,-0.535,-0.191,-1.184,1.015,0.235,0.879,1087715459.771,0.148
norefined,7,-1.243,-5.077,-3.556,-0.508,-0.164,-1.148,1.021,0.196,0.876,1197565315.283,0.245
norefined,8,-0.760,-5.123,-3.657,-0.478,-0.154,-1.104,1.019,0.237,0.867,1075633396.830,0.148
norefined,9,-1.250,-5.101,-3.581,-0.454,-0.130,-1.069,1.025,0.199,0.863,1182774205.012,0.245
norefined,10,-0.767,-5.146,-3.681,-0.423,-0.119,-1.024,1.024,0.241,0.855,1063884143.468,0.149
refined,11,-0.767,-5.146,-3.681,-0.423,-0.119,-1.024,1.024,0.241,0.855,1063884143.468,0.149
refined,12,-0.374,-1.307,-0.617,0.620,0.188,2.389,-0.006,0.215,-0.473,2228340589.465,0.286
refined,13,-0.042,-0.302,-0.678,-0.236,-0.050,-0.583,0.355,0.128,0.280,1650648499.628,0.140
refined,14,-0.200,-0.739,-0.757,0.035,0.081,0.830,0.164,0.154,-0.089,461170826.396,0.271
refined,15,-0.200,-0.769,-0.822,0.064,-0.007,0.735,0.239,0.079,-0.051,420031766.664,0.260
refined,16,-0.203,-0.787,-0.840,0.067,-0.019,0.746,0.244,0.067,-0.052,419339021.063,0.258
refined,17,-0.203,-0.789,-0.842,0.067,-0.022,0.748,0.245,0.065,-0.052,419325712.752,0.257
refined,18,-0.203,-0.790,-0.842,0.068,-0.022,0.748,0.245,0.065,-0.052,419325475.855,0.257
refined,19,-0.203,-0.790,-0.842,0.068,-0.022,0.748,0.245,0.065,-0.052,419325471.689,0.257
refined,20,-0.203,-0.790,-0.842,0.068,-0.022,0.748,0.245,0.065,-0.052,419325471.616,0.257
