stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.852,"[-1.439, -0.265]",0.587,-2.897,0.005
norefined,c,-4.973,"[-8.05, -1.897]",3.076,-3.227,0.002
norefined,s,-3.296,"[-5.512, -1.08]",2.216,-2.969,0.004
norefined,k0,-1.254,"[-2.471, -0.037]",1.217,-2.057,0.044
norefined,k1,-1.024,"[-2.347, 0.3]",1.323,-1.544,0.127
norefined,k2,-0.761,"[-1.66, 0.137]",0.899,-1.691,0.095
norefined,k3,0.335,"[-0.531, 1.202]",0.867,0.773,0.442
norefined,k4,0.876,"[-0.363, 2.114]",1.238,1.412,0.163
norefined,k5,-0.718,"[-1.79, 0.353]",1.071,-1.338,0.186
refined,tt,-0.902,"[-1.232, -0.572]",0.330,-5.450,0.000
refined,c,-6.169,"[-8.416, -3.922]",2.247,-5.480,0.000
refined,s,-2.530,"[-3.496, -1.563]",0.966,-5.225,0.000
refined,k0,0.126,"[-0.419, 0.672]",0.545,0.462,0.645
refined,k1,0.588,"[-0.249, 1.425]",0.837,1.403,0.165
refined,k2,-0.144,"[-0.601, 0.314]",0.458,-0.626,0.534
refined,k3,-0.196,"[-0.792, 0.401]",0.597,-0.655,0.515
refined,k4,-0.263,"[-1.013, 0.486]",0.750,-0.701,0.486
refined,k5,-0.779,"[-1.479, -0.079]",0.700,-2.221,0.030
