stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.861,"[-1.334, -0.388]",0.473,-3.630,0.001
norefined,c,-6.896,"[-10.1, -3.692]",3.204,-4.296,0.000
norefined,s,-3.248,"[-4.976, -1.519]",1.729,-3.749,0.000
norefined,k0,-0.537,"[-1.356, 0.283]",0.819,-1.307,0.196
norefined,k1,0.168,"[-0.615, 0.952]",0.784,0.429,0.670
norefined,k2,-0.466,"[-1.057, 0.125]",0.591,-1.574,0.120
norefined,k3,0.728,"[-0.167, 1.623]",0.895,1.624,0.109
norefined,k4,-0.440,"[-1.105, 0.224]",0.664,-1.324,0.190
norefined,k5,0.649,"[-0.146, 1.444]",0.795,1.630,0.108
refined,tt,-0.972,"[-1.357, -0.587]",0.385,-5.039,0.000
refined,c,-6.192,"[-8.383, -4.001]",2.191,-5.640,0.000
refined,s,-2.983,"[-4.228, -1.738]",1.245,-4.782,0.000
refined,k0,0.042,"[-0.668, 0.751]",0.710,0.117,0.907
refined,k1,0.233,"[-0.356, 0.822]",0.589,0.789,0.433
refined,k2,-0.175,"[-0.632, 0.282]",0.457,-0.765,0.447
refined,k3,0.043,"[-0.623, 0.71]",0.666,0.130,0.897
refined,k4,0.035,"[-0.455, 0.525]",0.490,0.142,0.888
refined,k5,-0.039,"[-0.622, 0.543]",0.583,-0.134,0.894
