stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.163,"[-4.478, 2.151]",3.314,-0.636,0.539
norefined,c,-4.580,"[-17.678, 8.519]",13.098,-0.634,0.541
norefined,s,-2.355,"[-8.891, 4.181]",6.536,-0.653,0.529
norefined,k0,-0.723,"[-4.857, 3.412]",4.135,-0.317,0.758
norefined,k1,0.429,"[-1.833, 2.691]",2.262,0.344,0.738
norefined,k2,-0.701,"[-5.196, 3.793]",4.494,-0.283,0.783
norefined,k3,0.176,"[-2.644, 2.996]",2.820,0.113,0.912
norefined,k4,1.146,"[-2.226, 4.519]",3.373,0.616,0.552
norefined,k5,0.761,"[-4.303, 5.825]",5.064,0.272,0.791
refined,tt,-1.163,"[-4.478, 2.151]",3.314,-0.636,0.539
refined,c,-4.580,"[-17.678, 8.519]",13.098,-0.634,0.541
refined,s,-2.355,"[-8.891, 4.181]",6.536,-0.653,0.529
refined,k0,-0.723,"[-4.857, 3.412]",4.135,-0.317,0.758
refined,k1,0.429,"[-1.833, 2.691]",2.262,0.344,0.738
refined,k2,-0.701,"[-5.196, 3.793]",4.494,-0.283,0.783
refined,k3,0.176,"[-2.644, 2.996]",2.820,0.113,0.912
refined,k4,1.146,"[-2.226, 4.519]",3.373,0.616,0.552
refined,k5,0.761,"[-4.303, 5.825]",5.064,0.272,0.791
