attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.978,"[-1.331, -0.626]",0.352,-4.628,0.000,53.744,ngd,24,154120526.584,0.127,-1.000,0.022,0,0,fn
c,-6.155,"[-8.478, -3.833]",2.322,-4.415,0.000,53.744,ngd,24,154120526.584,0.127,-6.000,-0.155,0,0,fn
s,-3.689,"[-4.88, -2.498]",1.191,-5.160,0.000,53.744,ngd,24,154120526.584,0.127,-3.000,-0.689,0,0,fn
vot,0.159,,,,,53.744,ngd,24,154120526.584,0.127,0.167,-0.008,0,0,fn
tt,-0.922,"[-1.223, -0.62]",0.302,-5.086,0.000,62.601,lm,24,153277441.399,0.126,-1.000,0.078,0,0,fn
c,-5.276,"[-7.057, -3.494]",1.782,-4.934,0.000,62.601,lm,24,153277441.399,0.126,-6.000,0.724,0,0,fn
s,-2.939,"[-3.765, -2.112]",0.827,-5.921,0.000,62.601,lm,24,153277441.399,0.126,-3.000,0.061,0,0,fn
vot,0.175,,,,,62.601,lm,24,153277441.399,0.126,0.167,0.008,0,0,fn
tt,-1.040,"[-1.408, -0.673]",0.367,-4.718,0.000,113.495,ngd+lm,24,153951721.816,0.127,-1.000,-0.040,0,0,fn
c,-5.961,"[-8.131, -3.79]",2.170,-4.575,0.000,113.495,ngd+lm,24,153951721.816,0.127,-6.000,0.039,0,0,fn
s,-3.359,"[-4.382, -2.337]",1.023,-5.472,0.000,113.495,ngd+lm,24,153951721.816,0.127,-3.000,-0.359,0,0,fn
vot,0.175,,,,,113.495,ngd+lm,24,153951721.816,0.127,0.167,0.008,0,0,fn
