stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,63.127,2.023,0.000,0,9,4689870531.755,494726770.434,76
refined,73.111,2.023,0.000,0,9,4689870531.755,433408676.511,76
