stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.531,"[-1.196, 0.135]",0.666,-1.355,0.186
norefined,c,-4.698,"[-9.153, -0.243]",4.455,-1.792,0.084
norefined,s,-2.300,"[-4.845, 0.245]",2.545,-1.535,0.136
norefined,k0,-0.953,"[-2.333, 0.428]",1.381,-1.172,0.251
norefined,k1,0.028,"[-0.632, 0.689]",0.660,0.073,0.942
norefined,k2,-0.690,"[-2.043, 0.663]",1.353,-0.866,0.393
norefined,k3,0.482,"[-1.037, 2.0]",1.519,0.539,0.594
norefined,k4,0.789,"[-0.135, 1.713]",0.924,1.452,0.157
norefined,k5,0.663,"[-0.472, 1.799]",1.135,0.993,0.329
refined,tt,-0.700,"[-1.079, -0.321]",0.379,-3.138,0.004
refined,c,-3.775,"[-5.753, -1.798]",1.978,-3.244,0.003
refined,s,-2.087,"[-3.215, -0.958]",1.128,-3.143,0.004
refined,k0,-0.131,"[-0.735, 0.473]",0.604,-0.369,0.715
refined,k1,0.154,"[-0.216, 0.523]",0.370,0.707,0.485
refined,k2,-0.005,"[-0.572, 0.563]",0.567,-0.014,0.989
refined,k3,-0.007,"[-0.624, 0.609]",0.617,-0.021,0.984
refined,k4,-0.200,"[-0.613, 0.214]",0.414,-0.820,0.419
refined,k5,0.307,"[-0.202, 0.816]",0.509,1.025,0.314
