stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.525,"[-1.032, -0.018]",0.507,-1.737,0.089
norefined,c,-4.688,"[-8.33, -1.046]",3.642,-2.159,0.036
norefined,s,-1.772,"[-3.707, 0.164]",1.935,-1.535,0.131
norefined,k0,-1.303,"[-2.803, 0.197]",1.500,-1.457,0.152
norefined,k1,-0.424,"[-1.196, 0.347]",0.771,-0.922,0.361
norefined,k2,-1.349,"[-2.711, 0.014]",1.362,-1.661,0.103
norefined,k3,0.081,"[-1.129, 1.291]",1.210,0.112,0.911
norefined,k4,1.085,"[0.101, 2.068]",0.984,1.850,0.071
norefined,k5,1.056,"[-0.207, 2.32]",1.263,1.403,0.167
refined,tt,-1.006,"[-1.345, -0.667]",0.339,-4.973,0.000
refined,c,-5.533,"[-7.362, -3.704]",1.829,-5.075,0.000
refined,s,-2.905,"[-3.89, -1.919]",0.985,-4.944,0.000
refined,k0,-0.338,"[-0.869, 0.193]",0.531,-1.069,0.291
refined,k1,0.088,"[-0.223, 0.399]",0.311,0.476,0.637
refined,k2,-0.150,"[-0.676, 0.375]",0.526,-0.480,0.633
refined,k3,0.182,"[-0.174, 0.539]",0.356,0.857,0.396
refined,k4,-0.079,"[-0.396, 0.238]",0.317,-0.417,0.679
refined,k5,0.025,"[-0.404, 0.455]",0.429,0.098,0.922
