stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.197,"[-1.951, -0.444]",0.754,-3.171,0.002
norefined,c,-5.386,"[-8.592, -2.181]",3.206,-3.354,0.001
norefined,s,-3.395,"[-5.378, -1.412]",1.983,-3.418,0.001
norefined,k0,-0.756,"[-1.734, 0.221]",0.978,-1.544,0.127
norefined,k1,-0.234,"[-0.931, 0.462]",0.696,-0.672,0.504
norefined,k2,0.073,"[-0.765, 0.911]",0.838,0.174,0.862
norefined,k3,-0.585,"[-1.156, -0.014]",0.571,-2.044,0.045
norefined,k4,0.221,"[-0.377, 0.819]",0.598,0.737,0.463
norefined,k5,-1.717,"[-2.8, -0.633]",1.083,-3.163,0.002
refined,tt,-0.962,"[-1.249, -0.676]",0.287,-6.703,0.000
refined,c,-5.831,"[-7.495, -4.168]",1.663,-6.999,0.000
refined,s,-2.848,"[-3.675, -2.021]",0.827,-6.877,0.000
refined,k0,0.255,"[-0.093, 0.603]",0.348,1.460,0.149
refined,k1,-0.151,"[-0.451, 0.149]",0.300,-1.003,0.320
refined,k2,0.278,"[-0.098, 0.653]",0.376,1.473,0.145
refined,k3,0.465,"[0.125, 0.805]",0.340,2.732,0.008
refined,k4,-0.026,"[-0.31, 0.258]",0.284,-0.186,0.853
refined,k5,-0.096,"[-0.442, 0.25]",0.346,-0.555,0.581
