stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.130,"[-1.862, -0.399]",0.732,-3.083,0.003
norefined,c,-6.632,"[-10.926, -2.338]",4.294,-3.083,0.003
norefined,s,-4.432,"[-7.385, -1.48]",2.953,-2.997,0.004
norefined,k0,0.130,"[-0.853, 1.112]",0.982,0.264,0.793
norefined,k1,0.287,"[-0.552, 1.127]",0.840,0.683,0.497
norefined,k2,0.109,"[-0.636, 0.853]",0.744,0.291,0.772
norefined,k3,-0.025,"[-0.941, 0.891]",0.916,-0.054,0.957
norefined,k4,1.135,"[-0.268, 2.538]",1.403,1.615,0.111
norefined,k5,-0.515,"[-1.416, 0.385]",0.901,-1.142,0.258
refined,tt,-1.219,"[-1.761, -0.676]",0.542,-4.485,0.000
refined,c,-6.972,"[-10.042, -3.903]",3.069,-4.534,0.000
refined,s,-3.487,"[-5.062, -1.912]",1.575,-4.419,0.000
refined,k0,0.222,"[-0.523, 0.967]",0.745,0.594,0.554
refined,k1,0.115,"[-0.491, 0.721]",0.606,0.379,0.706
refined,k2,0.229,"[-0.389, 0.846]",0.617,0.739,0.462
refined,k3,0.400,"[-0.345, 1.144]",0.744,1.071,0.288
refined,k4,-0.270,"[-1.089, 0.548]",0.818,-0.660,0.512
refined,k5,0.006,"[-0.57, 0.582]",0.576,0.021,0.984
