stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,40.001,2.023,0.000,76,0,9,2171050065.875,340647430.060
refined,75.811,2.023,0.000,76,0,9,2171050065.875,194129554.380
