stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,9.604,1.727,0.000,0,9,5363912130.522,2342170023.754,76
refined,10.497,1.727,0.000,0,9,5363912130.522,2225674018.407,76
