stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,144.185,2.023,0.000,76,0,9,2982692788.471,146439228.620
refined,222.297,2.023,0.000,76,0,9,2982692788.471,96650041.859
