stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.944,"[-1.592, -0.295]",0.649,-2.904,0.005
norefined,c,-6.249,"[-10.359, -2.139]",4.110,-3.035,0.003
norefined,s,-2.283,"[-3.822, -0.743]",1.539,-2.960,0.004
norefined,k0,-0.552,"[-1.761, 0.657]",1.209,-0.912,0.365
norefined,k1,0.092,"[-0.557, 0.741]",0.649,0.284,0.777
norefined,k2,-1.076,"[-2.273, 0.121]",1.197,-1.794,0.077
norefined,k3,1.403,"[-0.012, 2.818]",1.415,1.979,0.052
norefined,k4,1.280,"[-0.049, 2.61]",1.330,1.922,0.059
norefined,k5,-0.920,"[-1.838, -0.001]",0.919,-1.998,0.050
refined,tt,-0.893,"[-1.166, -0.62]",0.273,-6.529,0.000
refined,c,-5.323,"[-6.849, -3.798]",1.526,-6.965,0.000
refined,s,-2.730,"[-3.667, -1.794]",0.936,-5.823,0.000
refined,k0,0.516,"[0.003, 1.028]",0.512,2.010,0.049
refined,k1,0.049,"[-0.31, 0.407]",0.359,0.272,0.786
refined,k2,0.352,"[-0.041, 0.745]",0.393,1.789,0.078
refined,k3,-0.226,"[-0.681, 0.23]",0.455,-0.989,0.326
refined,k4,-0.165,"[-0.504, 0.174]",0.339,-0.974,0.333
refined,k5,0.292,"[-0.16, 0.743]",0.451,1.291,0.201
