stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.407,-5.817,-1.711,-0.502,0.053,-1.426,1.576,1.384,-1.033,1656309912.440,0.414
norefined,2,-1.976,-5.917,-1.881,-0.569,0.028,-1.487,1.493,1.338,-1.120,1042961130.866,0.334
norefined,3,-1.508,-6.021,-2.002,-0.583,0.004,-1.510,1.444,1.314,-1.160,547019591.848,0.251
norefined,4,-1.026,-6.100,-2.094,-0.557,-0.036,-1.502,1.442,1.313,-1.169,337488658.642,0.168
norefined,5,-1.463,-6.066,-2.121,-0.578,0.069,-1.319,1.449,1.323,-1.060,482819937.874,0.241
norefined,6,-0.978,-6.148,-2.198,-0.554,0.025,-1.315,1.441,1.320,-1.071,315904801.279,0.159
norefined,7,-1.444,-6.116,-2.180,-0.575,0.110,-1.185,1.437,1.309,-0.982,453152042.394,0.236
norefined,8,-0.958,-6.198,-2.249,-0.552,0.063,-1.185,1.425,1.304,-0.993,299474512.680,0.155
norefined,9,-1.429,-6.167,-2.219,-0.574,0.141,-1.074,1.417,1.285,-0.910,431017233.744,0.232
norefined,10,-0.944,-6.249,-2.283,-0.552,0.092,-1.076,1.403,1.280,-0.920,285751452.248,0.151
refined,11,-0.944,-6.249,-2.283,-0.552,0.092,-1.076,1.403,1.280,-0.920,285751452.248,0.151
refined,12,-0.598,-3.508,-2.132,0.975,0.051,1.106,-1.109,-0.925,0.633,361007358.770,0.171
refined,13,-0.760,-4.594,-2.355,0.569,0.108,0.350,-0.197,-0.289,0.415,93111951.929,0.166
refined,14,-0.896,-5.335,-2.741,0.564,0.052,0.371,-0.239,-0.191,0.323,85867737.382,0.168
refined,15,-0.889,-5.300,-2.715,0.510,0.048,0.350,-0.219,-0.162,0.286,85706322.465,0.168
refined,16,-0.895,-5.331,-2.735,0.518,0.049,0.353,-0.227,-0.166,0.293,85703199.248,0.168
refined,17,-0.893,-5.320,-2.729,0.515,0.049,0.352,-0.225,-0.165,0.291,85702956.310,0.168
refined,18,-0.894,-5.324,-2.731,0.516,0.049,0.352,-0.226,-0.166,0.292,85702926.684,0.168
refined,19,-0.893,-5.323,-2.730,0.515,0.049,0.352,-0.226,-0.165,0.292,85702922.947,0.168
refined,20,-0.893,-5.323,-2.730,0.516,0.049,0.352,-0.226,-0.165,0.292,85702922.471,0.168
