stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,102.732,2.023,0.000,76,0,9,3082059926.276,208249204.086
refined,230.739,2.023,0.000,76,0,9,3082059926.276,96330163.081
