stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.978,-5.063,-1.200,0.527,0.338,-1.167,-1.208,0.037,-1.604,719208373.435,0.193
norefined,2,-0.563,-5.144,-1.403,0.441,0.290,-1.117,-1.139,0.086,-1.502,427578363.424,0.109
norefined,3,-0.617,-5.182,-1.684,0.269,0.177,-1.066,-1.042,0.181,-1.180,323317883.420,0.119
norefined,4,-0.926,-5.164,-1.870,0.161,0.138,-0.983,-0.968,0.242,-0.880,320382127.109,0.179
norefined,5,-0.473,-5.225,-2.001,0.084,0.085,-0.940,-0.911,0.306,-0.803,301818992.435,0.091
norefined,6,-0.958,-5.185,-2.016,0.075,0.104,-0.914,-0.890,0.281,-0.697,269928647.046,0.185
norefined,7,-0.500,-5.244,-2.140,0.005,0.058,-0.866,-0.833,0.344,-0.625,270886012.758,0.095
norefined,8,-0.988,-5.201,-2.145,0.008,0.080,-0.846,-0.813,0.313,-0.535,233710598.528,0.190
norefined,9,-0.526,-5.259,-2.263,-0.055,0.041,-0.794,-0.758,0.373,-0.469,246931205.773,0.100
norefined,10,-1.015,-5.214,-2.259,-0.041,0.065,-0.781,-0.740,0.334,-0.395,208249204.085,0.195
refined,11,-1.015,-5.214,-2.259,-0.041,0.065,-0.781,-0.740,0.334,-0.395,208249204.085,0.195
refined,12,-0.828,-5.057,-2.624,0.336,0.017,-0.166,-0.302,0.092,0.300,104468220.627,0.164
refined,13,-1.049,-6.244,-3.266,0.255,-0.009,-0.219,-0.348,0.166,0.248,96449797.216,0.168
refined,14,-1.083,-6.423,-3.333,0.211,0.003,-0.203,-0.335,0.161,0.255,96334030.021,0.169
refined,15,-1.084,-6.424,-3.332,0.203,0.008,-0.199,-0.333,0.159,0.258,96330304.752,0.169
refined,16,-1.085,-6.431,-3.336,0.202,0.008,-0.198,-0.333,0.158,0.259,96330168.485,0.169
refined,17,-1.085,-6.431,-3.336,0.201,0.008,-0.198,-0.333,0.158,0.259,96330163.290,0.169
refined,18,-1.085,-6.432,-3.336,0.201,0.008,-0.198,-0.333,0.158,0.259,96330163.089,0.169
refined,19,-1.085,-6.432,-3.336,0.201,0.008,-0.198,-0.333,0.158,0.259,96330163.081,0.169
refined,20,-1.085,-6.432,-3.336,0.201,0.008,-0.198,-0.333,0.158,0.259,96330163.081,0.169
