stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.015,"[-1.479, -0.552]",0.464,-4.370,0.000
norefined,c,-5.214,"[-7.495, -2.933]",2.281,-4.563,0.000
norefined,s,-2.259,"[-3.317, -1.202]",1.057,-4.266,0.000
norefined,k0,-0.041,"[-0.785, 0.703]",0.744,-0.110,0.913
norefined,k1,0.065,"[-0.506, 0.635]",0.570,0.226,0.822
norefined,k2,-0.781,"[-1.334, -0.228]",0.553,-2.820,0.006
norefined,k3,-0.740,"[-1.261, -0.219]",0.521,-2.835,0.006
norefined,k4,0.334,"[-0.234, 0.903]",0.569,1.174,0.245
norefined,k5,-0.395,"[-1.016, 0.225]",0.620,-1.272,0.208
refined,tt,-1.085,"[-1.458, -0.712]",0.373,-5.812,0.000
refined,c,-6.432,"[-8.574, -4.289]",2.142,-5.993,0.000
refined,s,-3.336,"[-4.396, -2.276]",1.060,-6.282,0.000
refined,k0,0.201,"[-0.376, 0.778]",0.577,0.697,0.488
refined,k1,0.008,"[-0.441, 0.457]",0.449,0.036,0.971
refined,k2,-0.198,"[-0.523, 0.128]",0.325,-1.213,0.229
refined,k3,-0.333,"[-0.665, -0.001]",0.332,-2.001,0.049
refined,k4,0.158,"[-0.172, 0.489]",0.331,0.955,0.343
refined,k5,0.259,"[-0.091, 0.609]",0.350,1.476,0.145
