stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,84.517,2.023,0.000,76,0,9,2968702421.109,240322495.824
refined,212.128,2.023,0.000,76,0,9,2968702421.109,100651559.106
