stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.173,-7.086,-3.535,-0.568,-1.873,-1.988,0.523,-1.256,-0.919,1368484726.386,1584,0,0,-0.024
norefined,2,-0.321,-7.071,-3.559,-0.590,-1.885,-1.978,0.509,-1.231,-0.980,1073994915.720,1584,0,0,0.045
norefined,3,-0.813,-7.033,-3.580,-0.592,-1.851,-1.971,0.477,-1.175,-1.009,798709588.146,1584,0,0,0.116
norefined,4,-1.292,-6.988,-3.616,-0.596,-1.765,-1.950,0.449,-1.086,-0.982,632872867.859,1584,0,0,0.185
norefined,5,-1.376,-6.974,-3.881,-0.537,-1.450,-1.762,0.515,-0.919,-0.938,551695319.162,1584,0,0,0.197
norefined,6,-1.362,-7.004,-4.087,-0.432,-1.114,-1.532,0.599,-0.773,-0.900,501014796.444,1584,0,0,0.194
norefined,7,-1.741,-7.056,-4.044,-0.340,-0.883,-1.372,0.565,-0.666,-0.867,523064238.575,1584,0,0,0.247
norefined,8,-1.278,-7.143,-4.127,-0.312,-0.807,-1.279,0.603,-0.634,-0.812,489746393.598,1584,0,0,0.179
norefined,9,-1.752,-7.145,-4.015,-0.294,-0.752,-1.247,0.526,-0.581,-0.802,506385537.433,1584,0,0,0.245
norefined,10,-1.286,-7.230,-4.094,-0.267,-0.683,-1.157,0.564,-0.547,-0.745,475112643.256,1584,0,0,0.178
refined,11,-1.286,-7.230,-4.094,-0.267,-0.683,-1.157,0.564,-0.547,-0.745,475112643.256,1584,0,0,0.178
refined,12,-1.192,-6.505,-3.525,0.427,0.016,0.470,-1.100,0.565,-0.737,400423632.095,1584,0,0,0.183
refined,13,-1.499,-8.133,-4.399,0.408,-0.166,0.295,-1.075,0.566,-0.913,393771907.148,1584,0,0,0.184
refined,14,-1.521,-8.285,-4.389,0.390,-0.206,0.239,-0.907,0.620,-0.948,393349256.824,1584,0,0,0.184
refined,15,-1.581,-8.589,-4.563,0.436,-0.249,0.274,-0.940,0.647,-0.985,393250235.391,1584,0,0,0.184
refined,16,-1.597,-8.668,-4.590,0.442,-0.269,0.278,-0.917,0.662,-0.992,393220286.614,1584,0,0,0.184
refined,17,-1.613,-8.744,-4.631,0.452,-0.285,0.289,-0.919,0.670,-0.999,393210280.626,1584,0,0,0.184
refined,18,-1.620,-8.776,-4.645,0.456,-0.294,0.293,-0.914,0.674,-1.002,393206725.500,1584,0,0,0.185
refined,19,-1.625,-8.799,-4.657,0.459,-0.300,0.296,-0.913,0.677,-1.004,393205431.458,1584,0,0,0.185
refined,20,-1.628,-8.812,-4.663,0.460,-0.303,0.298,-0.911,0.679,-1.005,393204952.886,1584,0,0,0.185
