stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.931,-6.837,-2.097,-1.545,1.785,1.886,-1.110,-1.258,0.770,962768839.644,0.282
norefined,2,-1.520,-6.918,-2.309,-1.573,1.736,1.805,-1.161,-1.253,0.640,461223387.123,0.220
norefined,3,-1.076,-6.982,-2.480,-1.570,1.713,1.723,-1.218,-1.236,0.546,276763633.449,0.154
norefined,4,-0.968,-6.973,-2.804,-1.519,1.521,1.511,-1.286,-1.134,0.361,204630982.336,0.139
norefined,5,-0.866,-6.971,-3.101,-1.508,1.261,1.303,-1.254,-0.994,0.220,159976372.317,0.124
norefined,6,-1.281,-6.969,-3.153,-1.502,1.060,1.138,-1.221,-0.943,0.157,169297015.688,0.184
norefined,7,-0.844,-7.019,-3.281,-1.419,0.989,1.020,-1.251,-0.844,0.100,137729680.848,0.120
norefined,8,-1.326,-7.009,-3.235,-1.405,0.892,0.944,-1.225,-0.841,0.099,155567173.418,0.189
norefined,9,-0.874,-7.063,-3.341,-1.329,0.840,0.840,-1.252,-0.746,0.048,123437168.669,0.124
norefined,10,-1.357,-7.052,-3.288,-1.307,0.756,0.785,-1.206,-0.744,0.068,145219772.318,0.192
refined,11,-0.874,-7.063,-3.341,-1.329,0.840,0.840,-1.252,-0.746,0.048,123437168.669,0.124
refined,12,-0.589,-2.231,-1.292,1.034,-1.087,-0.304,0.988,1.136,-0.255,1069022060.370,0.264
refined,13,-0.335,-2.223,-0.811,-0.438,0.329,-0.002,-0.300,0.054,-0.189,158638120.624,0.151
refined,14,-0.569,-3.842,-1.578,-0.471,0.074,0.189,-0.406,0.031,-0.085,79002004.655,0.148
refined,15,-0.860,-5.744,-2.591,-0.265,-0.170,0.257,-0.275,0.057,0.073,57153227.693,0.150
refined,16,-1.052,-6.872,-3.332,-0.050,-0.234,0.201,-0.133,-0.020,0.208,53925864.816,0.153
refined,17,-1.061,-6.810,-3.362,0.009,-0.207,0.140,-0.073,-0.022,0.161,53686824.549,0.156
refined,18,-1.090,-6.984,-3.465,0.026,-0.218,0.142,-0.070,-0.024,0.179,53669208.440,0.156
refined,19,-1.081,-6.916,-3.431,0.027,-0.211,0.137,-0.066,-0.017,0.164,53666839.219,0.156
refined,20,-1.089,-6.968,-3.460,0.029,-0.215,0.139,-0.066,-0.020,0.172,53666167.480,0.156
