stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,96.077,1.765,0.000,57,0,9,2347090580.925,123437168.669
refined,227.920,1.765,0.000,57,0,9,2347090580.925,53666167.480
