stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-1.998,-5.470,-3.109,1.795,-0.114,1.508,0.305,-0.380,-0.760,2812917038.377,1584,0,0,0.365
norefined,2,-1.766,-5.569,-3.307,1.508,-0.245,1.378,0.200,-0.456,-0.878,2665012596.677,1584,0,0,0.317
norefined,3,-1.804,-5.658,-3.333,1.069,-0.387,1.251,0.201,-0.356,-0.907,2585155002.730,1584,0,0,0.319
norefined,4,-1.541,-5.779,-3.324,0.759,-0.463,1.168,0.220,-0.118,-0.930,2488255036.003,1584,0,0,0.267
norefined,5,-1.404,-5.855,-3.237,0.398,-0.573,1.051,0.285,0.119,-0.961,2382726905.184,1584,0,0,0.240
norefined,6,-1.339,-5.875,-3.177,0.021,-0.628,0.869,0.355,0.356,-1.008,2291936619.431,1584,0,0,0.228
norefined,7,-1.301,-5.825,-3.196,-0.320,-0.581,0.614,0.448,0.580,-1.066,2203083675.802,1584,0,0,0.223
norefined,8,-1.175,-5.734,-3.300,-0.587,-0.465,0.343,0.553,0.788,-1.123,2129891440.519,1584,0,0,0.205
norefined,9,-1.584,-5.626,-3.291,-0.685,-0.389,0.192,0.665,0.921,-1.073,2171613810.422,1584,0,0,0.282
norefined,10,-1.116,-5.667,-3.357,-0.735,-0.333,0.119,0.672,1.024,-1.130,2093378075.360,1584,0,0,0.197
refined,11,-1.116,-5.667,-3.357,-0.735,-0.333,0.119,0.672,1.024,-1.130,2093378075.360,1584,0,0,0.197
refined,12,-0.608,-1.729,-0.703,-1.337,-0.309,-2.800,1.062,2.441,-0.256,2754158981.521,1584,0,0,0.352
refined,13,-0.154,-0.862,-1.801,0.603,0.077,-0.003,-0.357,-0.672,0.880,3388028039.377,1584,0,0,0.179
refined,14,-0.314,-1.434,-1.414,-0.218,-0.290,-1.308,0.396,0.854,0.311,1979424961.765,1584,0,0,0.219
refined,15,-0.527,-2.051,-2.038,-0.614,-0.180,-1.538,0.482,1.110,0.231,1913470095.125,1584,0,0,0.257
refined,16,-0.655,-2.358,-2.245,-0.876,0.005,-1.629,0.605,1.300,-0.004,1901539371.709,1584,0,0,0.278
refined,17,-0.727,-2.711,-2.376,-0.975,0.025,-1.684,0.719,1.435,-0.110,1898216549.025,1584,0,0,0.268
refined,18,-0.802,-3.120,-2.455,-1.091,0.011,-1.722,0.848,1.558,-0.250,1893947326.121,1584,0,0,0.257
refined,19,-0.952,-3.922,-2.675,-1.298,-0.013,-1.871,1.085,1.784,-0.440,1885098649.825,1584,0,0,0.243
refined,20,-1.266,-5.461,-3.148,-1.703,-0.051,-2.327,1.524,2.286,-0.783,1866454902.397,1584,0,0,0.232
