stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,9.767,1.727,0.000,0,9,4839867463.192,2093378075.361,76
refined,11.860,1.727,0.000,0,9,4839867463.192,1866454902.398,76
