stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.536,"[-1.069, -0.003]",0.533,-1.678,0.098
norefined,c,-6.751,"[-12.953, -0.548]",6.202,-1.815,0.074
norefined,s,-2.284,"[-4.354, -0.213]",2.071,-1.840,0.070
norefined,k0,-0.454,"[-1.944, 1.037]",1.490,-0.508,0.613
norefined,k1,0.835,"[-0.749, 2.42]",1.584,0.879,0.382
norefined,k2,0.746,"[-1.163, 2.654]",1.909,0.652,0.517
norefined,k3,-0.967,"[-3.38, 1.445]",2.412,-0.669,0.506
norefined,k4,-0.093,"[-1.338, 1.153]",1.246,-0.124,0.902
norefined,k5,-0.311,"[-2.216, 1.593]",1.905,-0.273,0.786
refined,tt,-9.982,"[-66.143, 46.179]",56.161,-0.296,0.768
refined,c,-96.632,"[-664.369, 471.105]",567.737,-0.284,0.777
refined,s,-34.746,"[-242.104, 172.611]",207.357,-0.279,0.781
refined,k0,-18.023,"[-143.922, 107.876]",125.899,-0.239,0.812
refined,k1,17.943,"[-107.528, 143.415]",125.471,0.239,0.812
refined,k2,39.285,"[-188.338, 266.908]",227.623,0.288,0.774
refined,k3,-34.187,"[-233.177, 164.802]",198.989,-0.287,0.775
refined,k4,-6.327,"[-47.732, 35.079]",41.405,-0.255,0.800
refined,k5,-13.345,"[-88.633, 61.943]",75.288,-0.296,0.768
