stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.443,"[-0.821, -0.066]",0.377,-1.959,0.054
norefined,c,-4.613,"[-8.411, -0.815]",3.798,-2.026,0.047
norefined,s,-2.470,"[-4.373, -0.567]",1.903,-2.164,0.034
norefined,k0,-0.598,"[-2.122, 0.926]",1.524,-0.654,0.515
norefined,k1,0.489,"[-0.764, 1.742]",1.253,0.651,0.517
norefined,k2,0.159,"[-1.186, 1.503]",1.344,0.197,0.845
norefined,k3,-1.532,"[-3.005, -0.058]",1.473,-1.734,0.088
norefined,k4,0.750,"[-0.799, 2.299]",1.549,0.807,0.422
norefined,k5,-0.682,"[-2.236, 0.872]",1.554,-0.732,0.467
refined,tt,-4.891,"[-15.462, 5.679]",10.571,-0.772,0.443
refined,c,-44.950,"[-145.556, 55.657]",100.607,-0.745,0.459
refined,s,-19.244,"[-59.991, 21.503]",40.747,-0.788,0.434
refined,k0,-9.687,"[-31.681, 12.307]",21.994,-0.735,0.465
refined,k1,-0.989,"[-4.18, 2.202]",3.191,-0.517,0.607
refined,k2,1.413,"[-3.97, 6.796]",5.383,0.438,0.663
refined,k3,1.611,"[-5.629, 8.851]",7.240,0.371,0.712
refined,k4,13.150,"[-16.14, 42.441]",29.290,0.749,0.457
refined,k5,0.110,"[-4.704, 4.925]",4.814,0.038,0.970
