stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.779,"[-1.376, -0.181]",0.598,-2.601,0.011
norefined,c,-5.175,"[-9.095, -1.255]",3.920,-2.635,0.010
norefined,s,-2.915,"[-4.999, -0.831]",2.084,-2.791,0.007
norefined,k0,-0.204,"[-1.45, 1.042]",1.246,-0.326,0.745
norefined,k1,0.398,"[-0.711, 1.507]",1.109,0.717,0.476
norefined,k2,0.368,"[-1.208, 1.945]",1.576,0.467,0.642
norefined,k3,-1.206,"[-2.604, 0.191]",1.397,-1.724,0.089
norefined,k4,-0.809,"[-2.16, 0.543]",1.352,-1.194,0.237
norefined,k5,0.678,"[-0.726, 2.082]",1.404,0.964,0.338
refined,tt,-1.097,"[-1.859, -0.335]",0.762,-2.874,0.005
refined,c,-7.036,"[-11.507, -2.565]",4.471,-3.141,0.003
refined,s,-3.235,"[-5.412, -1.059]",2.177,-2.967,0.004
refined,k0,-0.134,"[-1.335, 1.067]",1.201,-0.223,0.825
refined,k1,-0.176,"[-1.225, 0.873]",1.049,-0.335,0.739
refined,k2,0.355,"[-1.064, 1.774]",1.419,0.499,0.619
refined,k3,0.618,"[-0.657, 1.893]",1.275,0.968,0.337
refined,k4,-0.506,"[-1.599, 0.588]",1.094,-0.922,0.360
refined,k5,-0.693,"[-2.053, 0.667]",1.360,-1.017,0.313
