stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,38.449,1.727,0.000,76,0,9,2637841317.199,427888654.817
refined,82.620,1.727,0.000,76,0,9,2637841317.199,218034573.949
