stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.196,"[-2.715, 0.324]",1.520,-1.571,0.121
norefined,c,-7.905,"[-17.545, 1.734]",9.640,-1.637,0.106
norefined,s,-4.852,"[-11.085, 1.381]",6.233,-1.554,0.125
norefined,k0,1.168,"[-1.736, 4.072]",2.904,0.803,0.425
norefined,k1,-1.938,"[-5.335, 1.458]",3.397,-1.139,0.259
norefined,k2,-2.275,"[-6.812, 2.263]",4.538,-1.001,0.321
norefined,k3,1.008,"[-2.422, 4.438]",3.430,0.587,0.559
norefined,k4,0.738,"[-2.034, 3.509]",2.771,0.531,0.597
norefined,k5,-0.150,"[-2.413, 2.113]",2.263,-0.132,0.895
refined,tt,-0.940,"[-1.601, -0.279]",0.661,-2.837,0.006
refined,c,-5.106,"[-8.368, -1.844]",3.262,-3.125,0.003
refined,s,-2.175,"[-3.782, -0.568]",1.607,-2.702,0.009
refined,k0,-0.796,"[-1.928, 0.336]",1.132,-1.404,0.165
refined,k1,-0.129,"[-0.936, 0.678]",0.807,-0.320,0.750
refined,k2,-0.279,"[-1.213, 0.655]",0.934,-0.596,0.553
refined,k3,-0.040,"[-1.025, 0.945]",0.985,-0.081,0.935
refined,k4,-0.235,"[-1.346, 0.877]",1.112,-0.421,0.675
refined,k5,-0.562,"[-1.485, 0.362]",0.924,-1.214,0.229
