stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,21.865,2.023,0.000,76,0,9,2168387134.518,550758649.385
refined,62.380,2.023,0.000,76,0,9,2168387134.518,231186603.269
