stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,52.966,2.347,0.000,0,9,751181765.346,15434340.802,19
refined,201.605,2.347,0.000,0,9,751181765.346,4117316.913,19
