stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,62.146,2.023,0.000,0,9,4555059679.141,487276351.467,76
refined,91.277,2.023,0.000,0,9,4555059679.141,343492234.464,76
