stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.476,"[-0.849, -0.102]",0.373,-2.543,0.013
norefined,c,-5.273,"[-9.362, -1.184]",4.089,-2.574,0.012
norefined,s,-2.541,"[-4.595, -0.488]",2.053,-2.470,0.016
norefined,k0,-0.880,"[-2.169, 0.41]",1.289,-1.362,0.178
norefined,k1,0.082,"[-0.824, 0.988]",0.906,0.181,0.857
norefined,k2,0.604,"[-0.546, 1.754]",1.150,1.049,0.298
norefined,k3,-0.930,"[-1.953, 0.093]",1.023,-1.815,0.074
norefined,k4,-0.629,"[-1.801, 0.542]",1.172,-1.072,0.288
norefined,k5,0.574,"[-0.711, 1.859]",1.285,0.891,0.376
refined,tt,-0.958,"[-1.46, -0.455]",0.503,-3.802,0.000
refined,c,-4.805,"[-7.469, -2.14]",2.665,-3.599,0.001
refined,s,-2.181,"[-3.68, -0.682]",1.499,-2.904,0.005
refined,k0,0.214,"[-0.541, 0.969]",0.755,0.567,0.573
refined,k1,-0.063,"[-0.906, 0.78]",0.843,-0.150,0.881
refined,k2,-0.029,"[-0.782, 0.724]",0.753,-0.077,0.939
refined,k3,-0.785,"[-1.624, 0.053]",0.838,-1.870,0.066
refined,k4,-0.093,"[-0.819, 0.633]",0.726,-0.256,0.799
refined,k5,-0.128,"[-0.979, 0.724]",0.852,-0.299,0.766
