stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.469,-5.502,-2.047,1.052,0.984,0.442,-0.011,-1.027,-1.815,649899737.859,0.267
norefined,2,-1.025,-5.569,-2.228,1.040,0.889,0.423,0.049,-1.016,-1.772,379642119.840,0.184
norefined,3,-0.583,-5.625,-2.388,1.012,0.792,0.372,0.093,-0.967,-1.682,350364947.782,0.104
norefined,4,-1.064,-5.603,-2.393,0.961,0.824,0.332,0.060,-0.977,-1.576,345727616.213,0.190
norefined,5,-0.614,-5.662,-2.532,0.937,0.729,0.279,0.095,-0.920,-1.487,316067202.952,0.108
norefined,6,-1.095,-5.641,-2.516,0.889,0.760,0.241,0.050,-0.926,-1.382,317535434.997,0.194
norefined,7,-0.641,-5.702,-2.641,0.865,0.666,0.189,0.078,-0.865,-1.294,287273121.953,0.112
norefined,8,-1.122,-5.681,-2.610,0.820,0.695,0.153,0.026,-0.869,-1.191,292662179.870,0.198
norefined,9,-0.665,-5.742,-2.726,0.793,0.601,0.103,0.052,-0.808,-1.103,262122864.904,0.116
norefined,10,-1.146,-5.721,-2.683,0.750,0.630,0.069,-0.005,-0.810,-1.003,270255944.547,0.200
refined,11,-0.665,-5.742,-2.726,0.793,0.601,0.103,0.052,-0.808,-1.103,262122864.904,0.116
refined,12,-0.899,-5.239,-2.678,-0.005,-0.202,-0.573,-0.219,-0.605,0.499,130155539.897,0.172
refined,13,-0.957,-5.465,-2.974,0.216,-0.050,-0.483,-0.237,-0.742,0.557,125652306.140,0.175
refined,14,-1.008,-5.782,-3.113,0.202,-0.063,-0.514,-0.265,-0.784,0.619,125368851.095,0.174
refined,15,-1.012,-5.805,-3.136,0.212,-0.051,-0.501,-0.273,-0.795,0.632,125347713.985,0.174
refined,16,-1.016,-5.833,-3.148,0.210,-0.052,-0.502,-0.274,-0.796,0.636,125345942.937,0.174
refined,17,-1.016,-5.833,-3.149,0.210,-0.051,-0.500,-0.275,-0.797,0.637,125345784.371,0.174
refined,18,-1.017,-5.836,-3.150,0.210,-0.051,-0.500,-0.275,-0.797,0.637,125345769.293,0.174
refined,19,-1.017,-5.836,-3.150,0.210,-0.051,-0.500,-0.275,-0.797,0.637,125345767.793,0.174
refined,20,-1.017,-5.836,-3.150,0.210,-0.051,-0.500,-0.275,-0.797,0.637,125345767.637,0.174
