stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.307,"[-2.584, -0.03]",1.277,-1.707,0.093
norefined,c,-7.061,"[-13.454, -0.668]",6.393,-1.842,0.070
norefined,s,-3.518,"[-6.703, -0.332]",3.186,-1.842,0.070
norefined,k0,0.808,"[-1.373, 2.99]",2.182,0.618,0.539
norefined,k1,-0.527,"[-2.702, 1.647]",2.175,-0.405,0.687
norefined,k2,-1.120,"[-2.594, 0.353]",1.473,-1.268,0.209
norefined,k3,-0.204,"[-1.529, 1.122]",1.325,-0.256,0.799
norefined,k4,-0.143,"[-1.979, 1.693]",1.836,-0.130,0.897
norefined,k5,0.470,"[-0.99, 1.93]",1.460,0.537,0.593
refined,tt,-1.193,"[-2.447, 0.061]",1.254,-1.587,0.117
refined,c,-7.718,"[-15.125, -0.31]",7.408,-1.738,0.087
refined,s,-3.732,"[-7.285, -0.178]",3.553,-1.752,0.084
refined,k0,1.555,"[-0.863, 3.972]",2.417,1.073,0.287
refined,k1,-0.210,"[-2.13, 1.71]",1.920,-0.182,0.856
refined,k2,-0.313,"[-1.562, 0.936]",1.249,-0.418,0.677
refined,k3,-0.331,"[-1.603, 0.94]",1.272,-0.434,0.665
refined,k4,-0.625,"[-2.153, 0.903]",1.528,-0.682,0.497
refined,k5,0.956,"[-0.71, 2.622]",1.666,0.957,0.342
