stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.644,-6.550,-3.398,1.424,1.052,-1.699,1.748,1.554,-0.473,821141158.783,0.404
norefined,2,-2.330,-6.625,-3.634,1.206,0.942,-1.704,1.654,1.447,-0.574,585725762.344,0.352
norefined,3,-2.005,-6.696,-3.841,1.021,0.796,-1.756,1.566,1.305,-0.678,315640550.667,0.299
norefined,4,-1.635,-6.772,-4.021,0.816,0.671,-1.764,1.508,1.207,-0.742,140592603.749,0.241
norefined,5,-1.197,-6.856,-4.140,0.658,0.610,-1.764,1.456,1.147,-0.784,66889023.221,0.175
norefined,6,-1.007,-7.002,-4.148,0.393,0.601,-1.646,1.191,0.980,-0.887,60225800.136,0.144
norefined,7,-1.453,-6.986,-4.116,0.438,0.668,-1.461,1.114,0.922,-0.894,63057076.098,0.208
norefined,8,-0.987,-7.079,-4.160,0.328,0.655,-1.449,1.046,0.874,-0.945,55725823.633,0.139
norefined,9,-1.452,-7.050,-4.120,0.392,0.706,-1.303,0.997,0.840,-0.931,57506135.780,0.206
norefined,10,-0.982,-7.141,-4.155,0.289,0.690,-1.291,0.934,0.794,-0.983,52549287.515,0.137
refined,11,-0.982,-7.141,-4.155,0.289,0.690,-1.291,0.934,0.794,-0.983,52549287.515,0.137
refined,12,-0.094,-1.038,0.495,0.676,-1.083,1.924,-1.935,-0.677,1.060,1687175030.093,0.091
refined,13,-0.273,-1.100,-1.320,-0.118,0.311,-1.010,1.348,0.203,-0.651,165126433.671,0.248
refined,14,-0.408,-3.276,-1.481,0.171,0.536,-0.228,0.234,-0.248,-0.248,26477607.698,0.124
refined,15,-0.600,-4.179,-2.061,0.114,0.221,0.121,0.072,-0.083,-0.159,16054329.778,0.144
refined,16,-0.688,-4.548,-2.248,-0.014,0.085,0.365,-0.010,-0.024,-0.017,14763623.744,0.151
refined,17,-0.758,-4.912,-2.336,-0.110,0.112,0.402,0.027,-0.070,-0.057,14617236.961,0.154
refined,18,-0.765,-4.937,-2.340,-0.139,0.095,0.443,0.032,-0.060,-0.020,14599389.149,0.155
refined,19,-0.779,-5.012,-2.359,-0.155,0.107,0.439,0.039,-0.079,-0.043,14597292.786,0.155
refined,20,-0.774,-4.984,-2.351,-0.153,0.098,0.448,0.038,-0.068,-0.025,14596773.270,0.155
